길명,길소개,총길이,총소요시간,시작지점명,시작지점도로명주소,시작지점소재지지번주소,종료지점명,종료지점소재지도로명주소,종료지점소재지지번주소,경로정보,관리기관전화번호,관리기관명,데이터기준일자,위도,경도,제공기관코드,제공기관명
석파령너머길(봄내길 3코스),"당림리에서 출발하여 석파령과 수레너미 고개를 지나서면 장절공 묘소까지 이어지는 이 길은 춘천의 역사와 만나는 길입니다. 고개가 험해 말을 타고 넘지 못하고 걸어서 넘었다고 하는데 신, 구 춘천부사가 오가며 좁은길에서 자리를 잘라 나누어 앉았을 만큼 험한 길입니다. 역사와 길이 만나 이야기를 만들어내는 석파령너미길에서는 고려 초기 무신인 신숭겸장군 묘역과 임진왜란 때 승전의 공을 세운 한백록장군의 묘역을 지나갑니다. 장절공 신숭겸 묘역에는 고구려고분이 묘역 남쪽 편에 동서로 나란히 자리 잡고 있습니다. 순금두상이 있다고 전해지는 신숭겸장군 묘역은 3개의 봉분이 있으며, 우리나라 10대 명당 중 하나로 꼽힌다고 하니 그 기운을 마음껏 내 안에 채우고 오면 좋을 것입니다.",18.7,5시간,당림초등학교,강원도 춘천시 서면 당숲안길 41 당림초등학교,강원도 춘천시 서면 당림리 414-1,신숭겸묘역,강원도 춘천시 서면 방동리 산 816-1,강원도 춘천시 서면 방동리 산 816-1,"당림초등학교→예현병원→석파령→덕두원(명월길)→수레너미(덕두원2리, 1905번 버스정류장 앞)→방동1리 마을회관→신숭겸묘역",033-250-3545,강원도 춘천시청,2021-09-06,,,4180000,강원도 춘천시
의암호나들길(봄내길 4코스),"의암호를 끼고 서면에서부터 삼천동까지 걷는 이곳은 춘천의 상징인 호수와 소양강 처녀상, 공지천 등을 만나며 가볍게 걸을 수 있는 길입니다. 호수의 풍경은 시간에 따라 다른 감동을 줍니다. 의암호 나들길에는 대한민국 국민가요 소양강 처녀의 주인공인 소양강 처녀상을 만나볼 수 있습니다. 자전거길을 따라 호수 한바퀴를 걸어도 좋은 산책로입니다.",14.2,5시간,서면 문학공원,강원도 춘천시 서면 금산2길 21,강원도 춘천시 서면 금산리 467,봉황대,강원도 춘천시 삼천동 269-1,강원도 춘천시 삼천동 269-1,서면 문학공원→눈늪나루→둑길→성재봉→마을길→오미나루(경찰충혼탑 앞)→신매대교→호반산책로→소양2교→근화동 배터→공지천→어린이회관→봉황대,033-250-3545,강원도 춘천시청,2021-09-06,,,4180000,강원도 춘천시
소양강변길(봄내길 4-1코스),춘천역 뒤편 강변으로 나있는 자전거길을 따라 소양강처녀상이 있는 곳까지 걸어서 소양2교와 소양1교를 돌아가며 강변의 풍광을 즐기는 길입니다. 여기서 길 건너 봉의산 아래 번개시장을 돌아보고 캠프페이지 부지가 있는 소양로를 따라 춘천역으로 이어지는 순환코스로 강변풍경과 함께 소양로 사람들이 사는 골목을 여행하는 코스입니다.,6.6,2.5시간,춘천역(2번출구),강원도 춘천시 평화로 1 춘천역사,강원도 춘천시 근화동 190,춘천역,강원도 춘천시 평화로 1 춘천역사,강원도 춘천시 근화동 190,춘천역(2번 출구)→의암호변 자전거길→평화공원→소양강처녀상→소양2교→삼성아파트앞 강변길→소양1교→비석군→번개시장→평화로(캠프페이지)→춘천역,033-250-3545,강원도 춘천시청,2021-09-06,,,4180000,강원도 춘천시
소양호나루터길(봄내길 5코스),소양호나루터길은 심심할 틈이 없습니다. 다양한 즐거움이 있는 소양호 나루터길을 걷기 위해 소양강댐 선착창에 도착합니다. 여기서 품걸리로 가는 배를  탑니다. 푸른 소양강물을 해치며 배는 40여분을 신나게 달려 품걸리선착장에 도착합니. 품걸리 마을을 지나 마을길과 숲길을 지나 물로리까지의 여정입니다.,25.7,7시간,소양감댐 선착장,강원도 춘천시 북산면 청평리 산 205-2,강원도 춘천시 북산면 청평리 산 205-2,소양강댐 선착장,강원도 춘천시 북산면 청평리 산 205-2,강원도 춘천시 북산면 청평리 산 205-2,소양감댐 선착장→품걸리 선착장→갈골→물로리선착장→소양강댐 선착장,033-250-3545,강원도 춘천시청,2021-09-06,,,4180000,강원도 춘천시
아라메길(2),서산 아라메길이란 바다의 고유어인 (아라)와 산의 우리말인 (메)를 합친말로 바다와 산이 만나는 서산지역의 특색을 갖춘 사람과 자연이 함께 이루어진 대화와 소통의 공간으로 아늑함과 포근함이 담긴 친환경 트레킹 코스입니다.,10,4시간,해미순교성지,충청남도 서산시 해미면 성지1로 13,충청남도 서산시 해미면 읍내리 274-10,한티고개,,충청남도 서산시 해미면 대곡리 973,해미순교성지(0) - 해미읍성 진남문(2.0) - 산수저수지 제방(5.0) - 산수저수지 산책로(6.0) - 송덕암교차로(7.0) - 대곡1리마을회관(8.0) - 해미폐차장(8.3) - 한티고개(10.0),041-660-2372,서산시청 관광과,2021-08-06,,,4530000,충청남도 서산시
아라메길(2-1),서산 아라메길이란 바다의 고유어인 (아라)와 산의 우리말인 (메)를 합친말로 바다와 산이 만나는 서산지역의 특색을 갖춘 사람과 자연이 함께 이루어진 대화와 소통의 공간으로 아늑함과 포근함이 담긴 친환경 트레킹 코스입니다.,11,4시간,산수저수지,,충청남도 서산시 해미면 대곡리 481,산수저수지,,충청남도 서산시 해미면 대곡리 481,산수저수지(0) - 송덕암교차로(1.0) - 대곡1리 마을회관(1.0) - 천장사(3.5) - 연암산 정상(4.0) - 연암산 임도(7.5) - 원터마을(9.5) - 산수저수지(11.0),041-660-2372,서산시청 관광과,2021-08-06,,,4530000,충청남도 서산시
해파랑길(제24구간),"해안 도로를 따라 숲길과 갯벌, 백사장과 온천이 조성된 힐링 코스",18.2,6,후포항,경상북도 울진군 죽변면 등대길 52,경상북도 울진군 죽변면 죽변리 1-23,기성버스터미널,경상북도 울진군 기성면 척산3길 17,경상북도 울진군 기성면 척산리 86-1,후포항 → 등기산공원 → 울진대게유래비 → 월송정 → 대풍헌 → 기성버스터미널,054-789-6901,울진군청,2021-05-13,,,5250000,경상북도 울진군
아라메길(3),서산 아라메길이란 바다의 고유어인 (아라)와 산의 우리말인 (메)를 합친말로 바다와 산이 만나는 서산지역의 특색을 갖춘 사람과 자연이 함께 이루어진 대화와 소통의 공간으로 아늑함과 포근함이 담긴 친환경 트레킹 코스입니다.,8,3시간,삼길포 관광안내소,충청남도 서산시 대산읍 삼길포1로 71,충청남도 서산시 대산읍 화곡리 1-26,삼길포 관광안내소,충청남도 서산시 대산읍 삼길포1로 71,충청남도 서산시 대산읍 화곡리 1-26,"삼길포 관광안내소(0) - 삼길포 전망대(1.0) - 봉화대입구(1.5) - 화곡어린이집, 벚꽃길(4.0) - 봉화대입구(6.5) - 봉화대(6.7) - 삼길산교회 입구(7.4) - 삼길포 관광안내소(8.0)",041-660-2372,서산시청 관광과,2021-08-06,,,4530000,충청남도 서산시
황금폭포하늘길,7구간,17.8,7시간,부귀면사무소,전라북도 진안군 부귀면 부귀로 305-7,전라북도 진안군 부귀면 거석리 787-1,마조,전라북도 진안군 정천면 봉학로 657-2,전라북도 진안군 정천면 봉학리 1251,부귀면사무소-상거석-하거석-부귀교-대동-야곡-황금쉼터-황금폭포-가치-진상-신기-방각-심원재-마조,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
운장산 넘는길,8구간,17,6시간30분,마조,전라북도 진안군 정천면 봉학로 657-2,전라북도 진안군 정천면 봉학리 1251,삼거,전라북도 진안군 주천면 대불리 76-2,전라북도 진안군 주천면 대불리 76-2,마조-갈크미재-외처사동-중사-새터교-개화교-산사미관-중리-장등-삼거,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
운일암반일암숲길,9구간,8.8,3시간,삼거,전라북도 진안군 주천면 대불리 76-2,전라북도 진안군 주천면 대불리 76-2,주천면사무소,전라북도 진안군 주천면 동상주천로 2213,전라북도 진안군 주천면 주양리 437-3,삼거-칠은교-전망대-무지개다리-주차장무대-주양교-닥밭골-닥밭골입구-먹고개-와룡암-주천면사무소,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
용담호보이는길,10구간,15.4,6시간,주천면사무소,전라북도 진안군 주천면 동상주천로 2213,전라북도 진안군 주천면 주양리 437-3,용담면사무소,전라북도 진안군 용담면 대송로 17,전라북도 진안군 용담면 송풍리 924-3,주천면사무소 -와룡암-금평-상성암-하성암-옛광석-와룡-옥거-용강산-금봉재-회룡-문화-용담면사무소,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
금강물길,11구간,16.6,5시간30분,용담면사무소,전라북도 진안군 용담면 대송로 17,전라북도 진안군 용담면 송풍리 924-3,안천소운동장,전라북도 진안군 안천면 노성리 1241-2,전라북도 진안군 안천면 노성리 1241-2,용담면사무소-노온-용담체련공원-가족테마공원-용담댐물문화관-구곡-장등- 도라-중배실-하배실-오얏고개-망향의동산-안천소운동장,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
감동벼룻길,11-1구간,3.7,1시간30분,용담체련공원,전라북도 진안군 용담면 송풍리 1182-3,전라북도 진안군 용담면 송풍리 1182-3,감동,전라북도 진안군 용담면 감동길 51-9,전라북도 진안군 용담면 송풍리 115-2,용담체련공원-섬바위-감동,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
고개너머 동향길,12구간,19.8,7시간,안천소운동장,전라북도 진안군 안천면 노성리 1241-2,전라북도 진안군 안천면 노성리 1241-2,동향면사무소,전라북도 진안군 동향면 진성로 1609,전라북도 진안군 동향면 대량리 874,안천소운동장-노채-갈티재-갈티-갈골재-임도입구-임도삼거리-가래재-상능-하능-추동교-외금-말고개-동향면사무소,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
천반산길,13구간,16,6시간,동향면사무소,전라북도 진안군 동향면 진성로 1609,전라북도 진안군 동향면 대량리 874,상전면사무소,전라북도 진안군 상전면 주평로 41,전라북도 진안군 상전면 주평리 1045-5,동향면사무소-동향중-굴다리-하향교-하향-등산로오거리-먹재-하가막-가막유원지-큰재-후가막-지사-문화-상전면사무소,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
진안천물길,14구간,13.4,4시간,상전면사무소,전라북도 진안군 상전면 주평로 41,전라북도 진안군 상전면 주평리 1045-5,진안만남쉼터,전라북도 진안군 진안읍 군하리 223-2,전라북도 진안군 진안읍 군하리 223-2,상전면사무소-상전체련공원-연지고개-중기-도치재-상도치-도치교-하수처리시설-징검다리-학천교-삼지교-우화정-진안만남쉼터,063-433-5191,전라북도 진안군,2021-09-15,,,4730000,전라북도 진안군
실레이야기길(봄내길 1코스),"실레마을은 마치 솥이 앉혀있는 것 같이 산으로 포근하게 싸여있는 마을입니다. 소설가 김유정(1908~1937)의 고향으로 봄·봄, 동백꽃, 금따는 콩밭 등 그의 소설 12편이 이곳을 배경으로 창작되었습니다. 김유정 문학촌은 복원된 김유정의 생가와 전시관, 체험시설 등이 있으며 산국농장 인근에는 서양화가 함섭 스튜디오 등 작가들의 창작실이 여러 채 있는 예술인 마을입니다. 봄내길 1코스 실레이야기길은 김유정의 소설 배경지를 따라가는 가벼운 산책길입니다.",5.2,2시간,김유정문학촌,강원도 춘천시 신동면 실레길 25,강원도 춘천시 신동면 증리 868-1,김유정문학촌,강원도 춘천시 신동면 실레길 25,강원도 춘천시 신동면 증리 868-1,김유정문학촌→실레마을길(문학촌 윗마을)→실레농원→전망대→산신각→저수지→금병의숙→마을안길→김유정문학촌,033-250-3545,강원도 춘천시청,2021-09-06,,,4180000,강원도 춘천시
물깨말구구리길(봄내길 2코스),"물깨말구구리길은 강촌에 있는 구곡폭포에서 시작해 봉화산, 문배마을, 구곡폭포로 다시 내려오는 코스입니다. 산길이 있지만 산세가 험하지 않고 경사가 급하지 않아 난이도가 어렵지는 않습니다. 산길의 장점은 숲의 맑은 공기와 흙 길을 밟을 수 있다는 것입니다. 물깨말은 강촌의 옛이름으로 물가마을에서 나온 말입니다. 물깨말은 나훈아의 노래 강촌에 살고 싶네가 탄생한 곳이기도 합니다.  봉화산 바위벽을 타고 내리는 구곡폭포가 있는 곳은 구구리 마을입니다. 골이 깊고, 아홉굽이를 돌아드는 마을 구구리를 돌아 올라가면 춘천의병장 습재 이소응이 숨어살기 좋은 곳이라고 했던 산속 마을인 문배마을이 나옵니다. *봄내길 2코스는 관광지가 포함되어 있어 입장료가 있습니다.(춘천시민은 입장료 50 감면)",7.3,2.5시간,구곡폭포 주차장,강원도 춘천시 남산면 강촌구곡길 254,강원도 춘천시 남산면 강촌리 432,구곡폭포 주차장,강원도 춘천시 남산면 강촌구곡길 254,강원도 춘천시 남산면 강촌리 432,구곡폭포 주차장→봉화산길→임도→문배마을→구곡폭포 주차장,033-250-3545,강원도 춘천시청,2021-09-06,,,4180000,강원도 춘천시
의암순례길(봄내길 2-1코스),물깨말구구리길과 출발점이 같은 길이며 산등성이 문배마을과 가정리 방향 갈림길에서 가정리로 걷는 코스입니다. 가정리에는 의암 류인석 유적지가 있어 의병들의 역사를 되새기며 걸을 수 있는 길입니다.,12.9,4.5시간,구곡폭포 주차장,강원도 춘천시 남산면 강촌구곡길 254,강원도 춘천시 남산면 강촌리 432,의암 류인석유적지,강원도 춘천시 남면 충효로 1503,강원도 춘천시 남면 가정리 474,구곡폭포 주차장→임도→옛산길→고개마루에서 직진→미나리폭포→쟁골교→가정리버스종점→의암 류인석유적지,033-250-3545,강원도 춘천시청,2021-09-06,,,4180000,강원도 춘천시
비단길,신라시대당나라로 가던길,12,4시간,신대2리 버스종점,경기도 평택시 신대2리 버스종점,경기도 평택시 팽성읍 신대리 산7-2,평택호 혜초기념비,경기도 평택시 평택호길 9-4,경기도 평택시 현덕면 권관리 536-10,신대2리 버스종점→국제대교→전망대→옛 신흥포구 자리→여선재→마안산→구진개 마을→평택호 혜초비,031-8024-3213,경기도 평택시청,2021-09-09,,,3910000,경기도 평택시
골프장둘레길,도심 속 생태의 보고,16,5시간 30분,당정역,경기도 군포시 당정역로 91,경기도 군포시 당정동 938,당정역,경기도 군포시 당정역로 91,경기도 군포시 당정동 938,당정역-골프장-기찻길-화물터미널-삼성천-삼성지하차도-골프장-신기천-당정역,031-390-0668,군포시청,2021-05-17,,,4020000,경기도 군포시
선사시대로 탐방 길(고인돌코스),2만년을 이어온 선사시대로 여행을 위한 선사문화탐방 코스길,0.3,1시간20분,선사유적공원,대구광역시 달서구 상화로15길 33,대구광역시 달서구 진천동 470-38,고인돌소공원,대구광역시 달서구 상화로7길 19-8,대구광역시 달서구 진천동 713-14,선사유적공원 ~ 고인돌소공원,053-667-2192,대구광역시 달서구청,2021-05-14,,,3470000,대구광역시 달서구
선사시대로 탐방 길(선돌코스),2만년을 이어온 선사시대로 여행을 위한 선사문화탐방 코스길,0.5,1시간 30분,한샘청동공원,대구광역시 달서구 조암남로26길 30,대구광역시 달서구 대천동 353-5,선돌공원,대구광역시 달서구 월암로 65,대구광역시 달서구 월암동 415-2,한샘청동공원 ~ 선돌공원,053-667-2192,대구광역시 달서구청,2021-05-14,,,3470000,대구광역시 달서구
독산성길(삼남길),경기옛길 제7길 독산성길,8.2,2시간,세마교,경기도 오산시 독산성로 419,경기도 오산시 세교동 595-3,은빛개울공원,경기도 오산시 금암로 16번길 20,경기도 오산시 금암동 530-6,세마교→보적사→ 동탄어린이천문대→ 고인돌공원→ 은빛개울공원,031-231-8574,경기문화재단,2021-05-15,,,4000000,경기도 오산시
독산성길(삼남길),경기옛길 제8길 오산생태하천길,6.3,1시간40분,은빛개울공원,경기도 오산시 금암로 16번길 20,경기도 오산시 금암동 530-6,맑음터공원,경기도 오산시 오산천로 52,경기도 오산시 오산동 750-1,은빛개울공원→궐리사→오산천→맑음터공원,031-231-8574,경기문화재단,2021-05-15,,,4000000,경기도 오산시
해파랑길(제23구간),바다를 배경으로 어촌마을과 해변을 지나는 조용한 코스,11.9,4,고래불해변,경상북도 영덕군 병곡면 고래불로 394,경상북도 영덕군 병곡면 병곡리 58-26,후포항,경상북도 울진군 후포면 울진대게로 236-14,경상북도 울진군 후포면 후포리 1056,고래불해변 → 병곡휴게소 → 금곡교 → 백암휴게소 → 후포항,054-789-6901,울진군청,2021-05-13,,,5250000,경상북도 울진군
반월호수길,물 위로 비치는 은빛 달그림자,8,2시간 30분,대야미역,경기도 군포시 대야1로28,경기도 군포시 대야미동 229-1,잔디광장,경기도 군포시 둔대동,경기도 군포시 둔대동,대야미역-갈치호수-죽암천길-영동고속도로 교각밑길-물말끔터-반월호수-잔디광장,031-390-0668,군포시청,2021-05-17,,,4020000,경기도 군포시
느티나무길,"숲, 거리로 흘러내리다",2.7,1시간,한숲스포츠센터,경기도 군포시 산본천로 43-6,경기도 군포시 산본동 1146,8단지 한양아파트경기도 군포시 수리산로 40,,경기도 군포시 산본동 1151-5,한숲스포츠센터-문화의거리-산본공고-남천병원-수도사업소-중앙도서관-8단지 한양아파트,031-390-0668,군포시청,2021-05-17,,,4020000,경기도 군포시
도장공원길,책 한 권 끼고 느리게 어슬렁거리기,2.3,50분,산본역,경기도 군포시 번영로 504,경기도 군포시 산본동 1231,도장공원,경기도 군포시 산본동 1145-7,경기도 군포시 산본동 1145-7,산본역-소방서사거리-도장중학교-신흥초등학교-도장공원,031-390-0668,군포시청,2021-05-17,,,4020000,경기도 군포시
조각보길,짜투리땅에서 피어난 이야기들,1.3,30분,엘지자이아파트,경기도 군포시 고산로151번길 26-23,경기도 군포시 당정동 973-1,해오름공원,경기도 군포시 당동,경기도 군포시 당동,엘지자이아파트-당동배수지-당동중학교-근로자종합복지관-해오름공원,031-390-0668,군포시청,2021-05-17,,,4020000,경기도 군포시
꽃편지길,콘크리트 숲에 피어난 서정시,3,1시간,군포G샘병원,경기도 군포시 군포로 591,경기도 군포시 당동 730,산본IC,경기도 군포시 산본동,경기도 군포시 산본동,군포G샘병원-금정고가-금정역-중앙공원-문화예술회관-산본IC,031-390-0668,군포시청,2021-05-17,,,4020000,경기도 군포시
공단옛길,공단 사이에 떠있는 작은 섬,1.6,30분,군포역,경기도 군포시 군포역1길 27,경기도 군포시 당동 134-1,대성세탁소,경기도 군포시 흥안대로18번길 22,경기도 군포시 금정동 171-3,군포역-당동지하차도-벌말노인정-가온전선-대성세탁소,031-390-0668,군포시청,2021-05-17,,,4020000,경기도 군포시
고양누리길 7코스 호수누리길,젊음과 열정을 찾을 수 있는 축제의 길,6.24,1시간 55분,정발산역,경기도 고양시 일산동구 중앙로 1270,경기도 고양시 일산동구 마두동 1123,정발산역,경기도 고양시 일산동구 중앙로 1270,경기도 고양시 일산동구 마두동 1123,고양시 통합앱 ’’’’’’’’고양누리길’’’’’’’’ 참조,031-8075-4384,경기도 고양시청,2021-12-01,,,3940000,경기도 고양시
고양누리길 8코스 경의로누리길,옛 애인과 걷고 싶은 경의선 철길,7.24,1시간 50분,정발산역,경기도 고양시 일산동구 중앙로 1270,경기도 고양시 일산동구 마두동 1123,탄현근린공원,경기도 고양시 일산서구 탄현동 1447-3,경기도 고양시 일산서구 탄현동 1447-3,고양시 통합앱 ’’’’’’’’고양누리길’’’’’’’’ 참조,031-8075-4384,경기도 고양시청,2021-12-01,,,3940000,경기도 고양시
고양누리길 9코스 고봉누리길,전국 10대 아름다운 숲길에 빛나는 이야기 길,6.72,2시간 30분,탄현근린공원,경기도 고양시 일산서구 탄현동 1447-3,경기도 고양시 일산서구 탄현동 1447-3,진밭,경기도 고양시 일산동구 성석동 921,경기도 고양시 일산동구 성석동 921,고양시 통합앱 ’’’’’’’’고양누리길’’’’’’’’ 참조,031-8075-4384,경기도 고양시청,2021-12-01,,,3940000,경기도 고양시
고양누리길 10코스 견달산누리길,일산과 덕양을 연결하는 화합과 만남의 길,10.2,3시간 25분,진밭,경기도 고양시 일산동구 성석동 921,경기도 고양시 일산동구 성석동 921,쥬라리움,경기도 고양시 덕양구 원당로458번길 7-42,경기도 고양시 덕양구 관산동 290,고양시 통합앱 ’’’’’’’’고양누리길’’’’’’’’ 참조,031-8075-4384,경기도 고양시청,2021-12-01,,,3940000,경기도 고양시
고양누리길 11코스 송강누리길,풍광이 아름다운 하천변 메타세콰이어 길,6.6,1시간 40분,쥬라리움,경기도 고양시 덕양구 원당로458번길 7-42,경기도 고양시 덕양구 관산동 290,필리핀참전비,경기도 고양시 덕양구 관산동 154-8,경기도 고양시 덕양구 관산동 154-8,고양시 통합앱 ’’’’’’’’고양누리길’’’’’’’’ 참조,031-8075-4384,경기도 고양시청,2021-12-01,,,3940000,경기도 고양시
고양누리길 12코스 고양동누리길,아빠. 최영 장군이 되고 싶어요. 꿈과 희망의 길,7.1,2시간 40분,필리핀참전비,경기도 고양시 덕양구 관산동 154-8,경기도 고양시 덕양구 관산동 154-8,안장고개,경기도 고양시 덕양구 대자동 66-7,경기도 고양시 덕양구 대자동 66-7,고양시 통합앱 ’’’’’’’’고양누리길’’’’’’’’ 참조,031-8075-4384,경기도 고양시청,2021-12-01,,,3940000,경기도 고양시
고양누리길 13코스 오선누리길,시골 풍경을 다박다박 걷는 정겨운 길,5.7,1시간 25분,안장고개,경기도 고양시 덕양구 대자동 66-7,경기도 고양시 덕양구 대자동 66-7,오금상촌공원,경기도 고양시 덕양구 오금동 34-2,경기도 고양시 덕양구 오금동 34-2,고양시 통합앱 ’’’’’’’’고양누리길’’’’’’’’ 참조,031-8075-4384,경기도 고양시청,2021-12-01,,,3940000,경기도 고양시
고양누리길 14코스 바람누리길,북한산과 한강의 맑은 기운을 잇는 자연의 길,15.5,3시간 50분,고양행주수위관측소,경기도 고양시 덕양구 행주내동 63,경기도 고양시 덕양구 행주내동 63,북한산성입구,서울특별시 은평구 진관동 289,서울특별시 은평구 진관동 289,고양시 통합앱 ’’’’’’’’고양누리길’’’’’’’’ 참조,031-8075-4384,경기도 고양시청,2021-12-01,,,3940000,경기도 고양시
구천동 어사길,어사 박문수가 다년간 곳,4.9,1시간 40분,덕유산국립공원 탐방안내소(구천동 어사길 자연관찰로),전라북도 무주군 설천면 백련사길 96,,백련사,전라북도 무주군 설천면 백련사길 580,,덕유산국립공원 탐방안내소(구천동 어사길 자연관찰로) → 인월담 → 구월담 → 안심대 → 백련사,063-322-3174,덕유산국립공원사무소,2021-12-06,,,4740000,전라북도 무주군
