관리번호,인허가일자,인허가취소일자,영업상태구분코드,폐업일자,휴업시작일자,재개업일자,야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,시설면적,문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,보험기관명,건물용도명,지상층수,지하층수,객실수,보험시작일자,보험종료일자,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
,,,,,,,쉼이있는자유,야영장,36.9060411223,126.2869033856,충청남도 태안군 이원면 음포길 133-6,충청남도 태안군 이원면 관리 1040-7,041-000-0000,4,457,,,,,,,,,,,,,,,36,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,HJ글램핑,야영장,38.059769,127.387582,경기도 포천시 이동면 화동로 2440-34,,031-000-0000,46,,,,,,,,,,,,,,,,184,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,수원산오토캠핑장,야영장,37.862797,127.2394429,경기도 포천시 군내면 청군로2985번길 50-29,경기도 포천시 군내면 직두리 450,031-000-0000,10,,,,,,,,,,,,,,,,40,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,도마치 캠핑장,야영장,38.04979654,127.3837846,경기도 포천시 이동면 화동로 2316,경기도 포천시 이동면 도평리 281-20,031-000-0000,25,,,,,,,,,,,,,,,,100,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,캠핑라운지,야영장,38.047385,127.369399,경기도 포천시 이동면 성장로1289번길 155-76,경기도 포천시 이동면 장암리 650-5,031-000-0000,37,,,,,,,,,,,,,,,,148,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,산정레이크RV리조트,자동차야영장,38.07675783,127.324405,경기도 포천시 영북면 산정호수로 834-32,경기도 포천시 영북면 산정리 277-1,031-000-0000,21,,,,,,,,,,,,,,,,84,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,국망봉자연휴양림캠핑장,야영장,38.028861,127.3962259,경기도 포천시 이동면 늠바위길 207-28,경기도 포천시 이동면 장암리 산74,031-532-0014,14,,,,,,,,,,,,,,,,56,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,태안둘레길캠핑장,야영장,36.932001,126.2941950522,충청남도 태안군 이원면 꾸지나무길 37-76,충청남도 태안군 이원면 내리 503-8,041-675-7000,93,28901,230,,,,,,,,,,,,,,372,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,태안별빛오토캠핑장,자동차야영장,36.7460684813,126.1836265917,충청남도 태안군 소원면 법산길 160-20,충청남도 태안군 소원면 법산리 897,041-000-0000,60,18306,532.64,,,,,,,,,,,,,,52,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,송도오토캠핑장,야영장,36.7780532766,126.134623,충청남도 태안군 소원면 모항항길 106-22,,041-000-0000,18,1738,45.33,,,,,,,,,,,,,,80,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,매화둠벙마을영농조합법인,야영장,36.8120682175,126.2268160411,충청남도 태안군 원북면 동해길 301-41,,041-672-0109,1,1563,39.56,,,,,,,,,,,,,,136,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,구름포오토캠핑장,야영장,36.835351,126.1524605172,충청남도 태안군 소원면 구름포길 119,충청남도 태안군 소원면 의항리 157-3,041-000-0000,13,4073,,,,,,,,,,,,,,,60,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,서해땅끝파도리아치내캠핑장,야영장,36.7199383628,126.1274715125,충청남도 태안군 소원면 아치내길 216,충청남도 태안군 소원면 파도리 1318,041-000-0000,20,3892,214.54,,,,,,,,,,,,,,48,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,태안라온캠핑장,자동차야영장,36.886282,126.2022737558,충청남도 태안군 원북면 옥파로 1019,충청남도 태안군 원북면 황촌리 800-95,041-674-4540,31,4996,127.47,,,,,,,,,,,,,,44,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,어은돌야영장,야영장,36.7514713820,126.1336630171,충청남도 태안군 소원면 연들길 67-3,,041-000-0000,15,1482,124.5,,,,,,,,,,,,,,36,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,물결캠핑장,야영장,36.8980164009,126.2086677,충청남도 태안군 원북면 학암포길 21-22,충청남도 태안군 원북면 방갈리 515-210,041-000-0000,1,1828,103,,,,,,,,,,,,,,32,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,바다물결캠핑장,야영장,36.897777,126.208252,,충청남도 태안군 원북면 방갈리 515-254,041-000-0000,1,1291,103,,,,,,,,,,,,,,196,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,함평나비마을서울캠핑장,야영장,35.0383763288,126.4884945293,전라남도 함평군 함평읍 함장로 730,,061-324-6251,21,,,,,,,,,,,,,,,,126,,탁구장+바둑교실+관리실+화장실+샤워장,X,,,,061-320-1784,함평군,2019-09-24,4960000,전라남도 함평군
,,,,,,,바다여행캠핑장,야영장,36.8909720123,126.2014262126,충청남도 태안군 원북면 옥파로 1059-16,충청남도 태안군 원북면 방갈리 535,041-000-0000,2,2243,,,,,,,,,,,,,,,84,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,학암포퍼스트캠핑장,야영장,36.8987969475,126.2041136128,충청남도 태안군 원북면 옥파로 1163-27,충청남도 태안군 원북면 방갈리 515-136,041-000-0000,24,9000,72,,,,,,,,,,,,,,56,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,벗과뱃나루캠핑리조트,야영장,36.6151709660,126.304788,충청남도 태안군 남면 마검포길 201-64,충청남도 태안군 남면 신온리 169-18,041-000-0000,2,3493,198.52,,,,,,,,,,,,,,84,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,비비오토캠프,야영장,36.6138686101,126.3027036610,충청남도 태안군 남면 마검포길 219-25,충청남도 태안군 남면 신온리 169-13,041-000-0000,2,2565,198.52,,,,,,,,,,,,,,48,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,캠핑코리아,야영장,36.8341114702,126.1830237153,충청남도 태안군 원북면 신두로 689-37,,041-675-9006,7,1310,389.12,,,,,,,,,,,,,,56,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,버디버디,야영장,36.72496032,126.2729946071,충청남도 태안군 남면 진산1길 277-200,충청남도 태안군 남면 진산리 613-11,041-000-0000,1,1476,116.22,,,,,,,,,,,,,,56,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,산마루 캠핑장,야영장,38.111665,127.399332,경기도 포천시 이동면 금강로 6584-20,,031-000-0000,35,,,,,,,,,,,,,,,,140,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,대청마루 물소리,야영장,38.15573819,127.198216,경기도 포천시 관인면 담터길 239,경기도 포천시 관인면 삼율리 10,031-000-0000,48,,,,,,,,,,,,,,,,192,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,방아텃골 관광농원,야영장,37.938288,127.276311,,경기도 포천시 일동면 길명리 398-8,031-000-0000,23,,,,,,,,,,,,,,,,92,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,나마스떼,야영장,37.973574,127.1025396,경기도 포천시 신북면 청신로 571,,031-000-0000,15,,,,,,,,,,,,,,,,60,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,산정호수 가족글램핑,야영장,38.066428,127.315572,경기도 포천시 영북면 산정호수로 399,,031-000-0000,14,,,,,,,,,,,,,,,,56,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,백운힐링 캠핑장,야영장,38.07621276,127.4182277,경기도 포천시 이동면 포화로 320-1,경기도 포천시 이동면 도평리 26,031-000-0000,7,,,,,,,,,,,,,,,,28,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,운악레저타운,야영장,37.904902,127.310522,경기도 포천시 화현면 화동로432번길 26,,031-000-0000,9,,,,,,,,,,,,,,,,36,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,계곡과소나무 캠핑장,야영장,37.9522642,127.360448,경기도 포천시 일동면 무리울길 299,경기도 포천시 일동면 화대리 1-4,031-000-0000,6,,,,,,,,,,,,,,,,24,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,낭만가족 캠핑장,야영장,37.93053562,127.1223132,경기도 포천시 신북면 지동길 199-10,경기도 포천시 신북면 금동리 84-8,031-000-0000,21,,,,,,,,,,,,,,,,84,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,용봉산글램핑,야영장,36.64403069,126.6617413,충청남도 홍성군 홍북읍 용봉산1길 15,,041-633-3739,82,6940,,,,,,,,,,,,,,,328,,전기시설+수영장+샤워실,소화기+방송장비+안전게시물,,,,041-630-1256,홍성군청,2020-01-28,6440000,충청남도
,,,,,,,상황오토캠핑장,자동차야영장,36.58453493,126.4765056,충청남도 홍성군 서부면 서부서길 633-60,,041-631-6160,41,10230,,,,,,,,,,,,,,,164,,전기시설+가스시설+야외물놀이장+족구장+파고라,소화기+방송장비+안전게시물,,,,041-630-1257,홍성군청,2020-01-28,6440000,충청남도
,,,,,,,카라반에코빌리지,야영장,36.60520241,126.6054095,충청남도 홍성군 구항면 구성북로 229,,041-000-0000,3,1037,,,,,,,,,,,,,,,12,,전기시설+샤워실,소화기+방송장비+안전게시물,,,,041-630-1258,홍성군청,2020-01-28,6440000,충청남도
,,,,,,,예산느티나무캠핑장,야영장,36.59693637,126.9099501,충청남도 예산군 신양면 차동송정길 2-71,,041-333-2442,50,5862,197,,,,,,,,,,,,,,200,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,가루실 캠프,야영장,36.65623701,126.6436767,충청남도 예산군 덕산면 가루실길 229-23,,041-337-9613,21,3083,79,,,,,,,,,,,,,,84,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,파인힐 캠프,야영장,36.64392482,126.6029129,충청남도 예산군 덕산면 외라2길 60-24,,000-000-0000,25,9990,118,,,,,,,,,,,,,,100,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,농업회사법인 주식회사 태신목장 예산지점,야영장,36.80188596,126.708268,충청남도 예산군 고덕면 몽곡상몽길 373-7,,041-356-3154,29,4980,116,,,,,,,,,,,,,,116,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,피플앤독힐링캠핑장,야영장,36.64531869,126.8725792,충청남도 예산군 신양면 귀곡동절길 28-1,,041-331-3312,3,1299,35,,,,,,,,,,,,,,15,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,주식회사 제이에스글로벌,자동차야영장,36.69489717,126.6565637,충청남도 예산군 덕산면 온천단지3로 42-3,,041-337-7401,1,890,18,,,,,,,,,,,,,,55,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,피플앤독느티캠핑장,야영장,36.6286368,126.8692124,충청남도 예산군 신양면 불원귀곡길 108,,041-331-3312,20,5171,285,,,,,,,,,,,,,,80,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,예당관광지국민여가캠핑장,자동차야영장,36.63661875,126.7980041,충청남도 예산군 응봉면 예당관광로 123,,041-339-8282,27,6797,257,,,,,,,,,,,,,,108,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,예산군예당관광지야영장,야영장,36.63801252,126.7994317,충청남도 예산군 응봉면 예당관광로 161,,041-339-8282,9,6740,136,,,,,,,,,,,,,,50,,상하수도시설+화장실+취사시설,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,함평자연생태공원캠핑장,야영장,35.1350012302,126.5057010459,전라남도 함평군 대동면 학동로 1398-77,,061-320-2853,10,,,,,,,,,,,,,,,,60,,X,X,,,,061-320-2853,함평군,2019-09-24,4960000,전라남도 함평군
,,,,,,,수덕 캠핑장,야영장,36.67212982,126.647483,충청남도 예산군 덕산면 노곡길 15,,000-000-0000,29,5624,142,,,,,,,,,,,,,,116,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,가야산 캠핑장,야영장,36.68647709,126.6289428,충청남도 예산군 덕산면 윤봉길로 489-8,,000-000-0000,21,4400,50,,,,,,,,,,,,,,84,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
,,,,,,,맘빌리지,야영장,36.7379595982,126.2023737319,충청남도 태안군 소원면 법산길 350-60,,041-000-0000,1,1991,,,,,,,,,,,,,,,48,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,굼벵이캠핑농원,야영장,36.9365104845,126.2939112954,충청남도 태안군 이원면 꾸지나무길 103-10,,041-000-0000,21,1912,65.9,,,,,,,,,,,,,,84,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,이태백야영장,야영장,36.8393736223,126.163896,충청남도 태안군 소원면 송의로 809-68,,041-000-0000,13,1222,52,,,,,,,,,,,,,,52,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,삼봉자동차야영장,자동차야영장,36.5715154236,126.3150832063,충청남도 태안군 안면읍 삼봉길 209-3,,041-673-1066,25,22000,195,,,,,,,,,,,,,,100,,하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,학암포자동차야영장,자동차야영장,36.8979962257,126.2072633065,충청남도 태안군 원북면 옥파로 1152-37,,041-674-3224,100,27451,660.74,,,,,,,,,,,,,,400,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,몽산포자동차야영장,자동차야영장,36.6698222404,126.2895320534,충청남도 태안군 남면 몽산포길 63-43,충청남도 태안군 남면 신장리 355-50,041-672-7267,159,33016,302.4,,,,,,,,,,,,,,600,,하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,마검포힐링캠핑장,야영장,36.609494,126.2908415112,충청남도 태안군 남면 마검포길 313-30,충청남도 태안군 남면 신온리 952-15,041-000-0000,9,1828,176,,,,,,,,,,,,,,72,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
,,,,,,,카라반 캠핑장,야영장,38.08771185,127.389974,경기도 포천시 이동면 금강로6263번길 12-1,경기도 포천시 이동면 도평리 538-8,031-542-5420,8,,,,,,,,,,,,,,,,32,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,백운오양골 캠핑장,야영장,38.068152,127.381685,경기도 포천시 이동면 화동로2457번길 92,,031-536-5565,46,,,,,,,,,,,,,,,,184,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,도리돌 캠핑장,야영장,38.0611704,127.386996,경기도 포천시 이동면 화동로 2464,,031-000-0000,18,,,,,,,,,,,,,,,,72,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,포천계곡캠핑장,야영장,38.090773,127.391388,경기도 포천시 이동면 금강로 6304,경기도 포천시 이동면 도평리 542-1,031-000-0000,13,,,,,,,,,,,,,,,,52,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,포천이동 생태공원 캠핑장,야영장,38.03816514,127.3664503,경기도 포천시 이동면 성장로1289번길 63,경기도 포천시 이동면 장암리 477-1,031-538-4552,13,,,,,,,,,,,,,,,,52,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,넓은마당캠핑장,야영장,38.0682697,127.3875996,경기도 포천시 이동면 화동로 2530,경기도 포천시 이동면 도평리 469-8,031-535-9107,26,,,,,,,,,,,,,,,,104,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,청담 관광농원,야영장,37.885933,127.282816,,경기도 포천시 화현면 명덕리 10-14,031-000-0000,36,,,,,,,,,,,,,,,,144,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,명덕 관광농원,야영장,37.886479,127.2850044,경기도 포천시 화현면 봉화로 400-150,경기도 포천시 화현면 명덕리 10-17,031-000-0000,27,,,,,,,,,,,,,,,,108,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,자일랜드,야영장,38.10560301,127.309129,경기도 포천시 영북면 호국로4350번길 154-188,경기도 포천시 영북면 자일리 8,031-000-0000,32,,,,,,,,,,,,,,,,128,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,위크온 글램핑,야영장,38.02933931,127.387924,경기도 포천시 이동면 늠바위길 201-3,경기도 포천시 이동면 장암리 50,031-000-0000,9,,,,,,,,,,,,,,,,36,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,광릉솔개캠핑장,야영장,37.7641781,127.1443901,경기도 포천시 소흘읍 광릉수목원로779번길 120,경기도 포천시 소흘읍 이곡리 524-1,031-544-1260,36,,,,,,,,,,,,,,,,144,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,포천 베어스 글램핑 파크,야영장,37.832365,127.265782,경기도 포천시 내촌면 금강로 3009,경기도 포천시 내촌면 신팔리 388-2,031-000-0000,7,,,,,,,,,,,,,,,,28,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,즐거운나들이 관광농원,야영장,37.8401404,127.220427,경기도 포천시 가산면 우금6길 64,경기도 포천시 가산면 우금리 97-4,031-000-0000,25,,,,,,,,,,,,,,,,100,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,삼정관광농원,야영장,37.9789757,127.1352617,경기도 포천시 신북면 청신로947번길 207,경기도 포천시 신북면 삼정리 291-1,031-000-0000,6,,,,,,,,,,,,,,,,24,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,아이에프에이 캠프운악,야영장,37.893925,127.306124,경기도 포천시 화현면 금강로 3806-80,경기도 포천시 화현면 화현리 1090-1,031-000-0000,24,,,,,,,,,,,,,,,,96,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,추동캠프,야영장,37.99137763,127.155787,경기도 포천시 창수면 포천로2811번길 194,경기도 포천시 창수면 추동리 812,031-000-0000,17,,,,,,,,,,,,,,,,68,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,광릉숲이야기 관광농원,야영장,37.766609,127.169787,경기도 포천시 직동길 44,경기도 포천시 소흘읍 직동리 76-4,031-000-0000,30,,,,,,,,,,,,,,,,120,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,약사계곡 캠핑장,야영장,38.08804415,127.3897432,경기도 포천시 이동면 금강로 6263번길 14-2,경기도 포천시 이동면 도평리 538-7,031-536-5424,6,,,,,,,,,,,,,,,,24,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,이동계곡 캠핑장,야영장,38.08841797,127.3900324,경기도 포천시 이동면 금강로 6263번길 14-1,경기도 포천시 이동면 도평리 538-4,031-542-5419,5,,,,,,,,,,,,,,,,20,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
,,,,,,,닥박골 휴양림,야영장,37.929688,127.1770912,경기도 포천시 신북면 깊이울로1길 48-17,경기도 포천시 신북면 심곡리 615,031-000-0000,33,,,,,,,,,,,,,,,,132,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
