휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
고산자연휴양림,전라북도,공유림,6720000,3000,어른2000원+청소년군인1500원+어린이1000원,Y,"숲속의집, 휴양관, 돔하우스, 가족휴양관",전라북도 완주군 고산면 고산휴양림로 246,전라북도 완주군청,063-263-8680,https://wanju.foresttrip.go.kr/,35.96224205,127.2328719,2021-12-02,4720000,전라북도 완주군
박달재자연휴양림,충청북도,공유림,1700000,2000,무,Y,"숲속의집, 산책로등",충청북도 제천시 백운면 금봉로 228,충청북도 제천시청,043-652-0910,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030062,37.14706386,128.0457749,2021-12-02,4400000,충청북도 제천시
함평자연생태공원,전라남도,국유림,561867,,5000,Y,"과학관, 나비곤충표본전시관, 캠핑트레일러, 반달가슴곰관찰원",전라남도 함평군 대동면 학동로 1398-77,함평군 산림공원과,061-320-2855,https://www.hampyeong.go.kr/ecopark/,35.13500123,126.5056999542,2021-12-01,4960000,전라남도 함평군
동두천자연휴양림,경기도,공유림,700000,1000,성인2000+청소년구인1500+아동1000,Y,"숲속의집, 야외데크, 잔디광장, 유아숲체험원,",경기도 동두천시 탑동가산로 1,경기도 동두천시청 관광휴양과,031-860-3258,https://blog.naver.com/ddcforest,37.88988548,127.1371472,2021-12-01,3920000,경기도 동두천시
수레의산자연휴양림,충청북도,공유림,970000,81,무료+숙박시설별도,Y,숙박시설+캠핑장+산책로+화장실 등,충청북도 음성군 생극면 차생로 310-108,충청북도 음성군,043-878-2013,www.eumseong.go.kr/forest,37.03888889,127.6513842,2021-11-30,4470000,충청북도 음성군
백야자연휴양림,충청북도,공유림,370000,210,무료+숙박시설별도,Y,숙박시설+캠핑장+물놀이장+산책로+화장실 등,충청북도 음성군 금왕읍 백야로 461-97,충청북도 음성군,043-878-2556,www.eumseong.go.kr/forest,36.95683951,127.6096488,2021-11-30,4470000,충청북도 음성군
동강전망자연휴양림,강원도,공유림,448000,268,없음,N,오토캠핑장,강원도 정선군 신동읍 동강로 916-212,정선군시설관리공단,070-4225-2336,https://www.jsimc.or.kr,37.25962318,128.6079002,2021-11-30,4290000,강원도 정선군
하추자연휴양림,강원도,공유림,880000,108,객실(비수기)50000원+객실(성수기)70000원+데크(비수기)20000원+데크(성수기)30000원,Y,"숲속의집,야영장",강원도 인제군 인제읍 하추로686,강원도 인제군 산림자원과,033-461-0056,,38.03534186,128.319867,2021-11-24,4330000,강원도 인제군
거제자연휴양림,경상남도,국유림,345377,600,"개인(성인 1,000 청소년, 군인700 어린이500) 단체(성인700 청소년,군인500 어린이300)",Y,숲속의집 산림문화 휴양관 야영데크 숲속수련장,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제해양관광개발공사,055-639-8115,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030059,34.7856966,128.625968,2021-11-23,B552833,거제해양관광개발공사
아세안자연휴양림,경기도,공유림,583880,500,일반1000원+일반(단체)800원+청소년600원+청소년(단체)500원+어린이300원+어린이(단체)200원,Y,"숲속의집14동, 안내센터, 다목적광장 등",경기도 양주시 백석읍 기산로 472,산림청,031-871-2796,http://www.huyang.kr/,37.77382293,126.9421758,2021-11-18,5590000,경기도 양주시
장흥 자연휴양림,경기도,사유림,499000,300,무료,N,"물놀이장, 썰매장",경기도 양주시 장흥면 권율로 594,민간(㈜해성농림),080-233-7766,http://www.fes-artvalley.com/,37.75816692,126.9685293,2021-11-18,5590000,경기도 양주시
좌구산자연휴양림,충청북도,공유림,730000,251,무료,Y,숲속의 집 황토방 별무리하우스 병영하우스 좌구산 숲 명상의 집 줄타기 썰매장 숲속모험시설 천문대 등,충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군청,043-835-4552,https://www.foresttrip.go.kr,36.70556821,127.6511216,2021-12-31,6430000,충청북도
생거진천자연휴양림,충청북도,공유림,2210181,170,무료,Y,산림문화휴양관 숲속의집 연립동 야영센터 관리사무소,충청북도 진천군 백곡면 명암길 435-135,충청북도 진천군청,043-539-3551,https://www.foresttrip.go.kr,36.92399609,127.3902346,2021-12-31,6430000,충청북도
성불산자연휴양림,충청북도,공유림,581037,302,무료,Y,숲속의집.산림문화휴양관.숲관광메가시티.생태체험관.한옥체험관.생태공원.미선향테마파크 유아숲체험원,충청북도 괴산군 괴산읍 충민로기곡길 78,충청북도 괴산군청,043-830-2679,https://www.foresttrip.go.kr,36.80804701,127.8467688,2021-12-31,6430000,충청북도
수레의산자연휴양림,충청북도,공유림,890000,144,무료,Y,숙박시설 캠핑장 물놀이장 산책로 화장실 등,충청북도 음성군 생극면 차생로 310-108,충청북도 음성군청,043-878-2013,https://www.foresttrip.go.kr,37.03888915,127.6513855,2021-12-31,6430000,충청북도
송정자연휴양림,경상북도,공유림,636297,500,"개인(성인 1,000원, 청소년·군인 700원, 어린이 500원), 단체(성인 800원, 청소년·군인 500원, 어린이 300원)",Y,"숲속의집, 산림휴양관, 야영장, 바비큐장, 숲만남의광장 등",경상북도 칠곡군 석적읍 반계3길 88,칠곡군청,054-979-6600,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030076,36.02333243,128.4416406,2020-06-30,5220000,경상북도 칠곡군
계명산자연휴양림,경상북도,공유림,2500000,177,일반1000원+단체800원(어른),Y,"숲속의 집, 황토방, 산림휴양관, 복합산림휴양관, 산막, 야영장 등",경상북도 안동시 길안면 고란길 207-99,경상북도 안동시청 공원녹지과,054-850-4700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030029,36.41012056,128.9465131,2022-02-18,5070000,경상북도 안동시
백운산자연휴양림,전라남도,공유림,363000,395,0,Y,숙박동 목재문화체험장 황토길 산책로 야영장 운동장 등,전라남도 광양시 옥룡면 백계로 337,전라남도 광양시,061-797-2655,bwmt.gwangyang.go.kr,35.05164287,127.5985311,2022-02-18,4840000,전라남도 광양시
생거진천자연휴양림,충청북도,공유림,520000,129,0원,Y,"산림문화휴양관, 숲속의집12동, 연립동, 야영센터, 관리사무소",충청북도 진천군 백곡면 명암길 435-135,충청북도 진천군청 산림축산과,043-539-3552,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030033,36.923988,127.3902017,2022-02-17,4450000,충청북도 진천군
불정자연휴양림,경상북도,공유림,275,200,어른:1000+청소년/군인:800+어린이:500,Y,"숲속의집, 카라반, 야영장, 물놀이장, 야영데크",경상북도 문경시 불정길 180,문경관광진흥공단,054-553-9443,http://www.mgtpcr.or.kr,36.62128207,128.1365074,2022-02-17,5120000,경상북도 문경시
대야산자연휴양림,경상북도,국유림,820,500,어른:1000+청소년:600+어린이:300,Y,"산림문화휴양관, 연립동, 야영시설",경상북도 문경시 가은읍 용추길 31-35,국립자연휴양림관리소,054-571-7181,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0245,36.67090364,127.9619774,2022-02-17,5120000,경상북도 문경시
안면도자연휴양림,충청남도,국유림,1350000,6000,일반 1000원+청소년 800원 +군인 800원 + 어린이 400원,Y,"전시관, 수목원, 숲속의집 등",충청남도 태안군 안면읍 안면대로3195-6,충청남도 산림환경연구소 휴양림관리사무소,041-674-5019,www.anmyonhuyang.go.kr,36.49670127,126.3588291,2020-02-05,4620000,충청남도 태안군
국립희리산해송자연휴양림,충청남도,국유림,1430000,500,"개인 어른 1,000원 청소년600원 어린이300원단체 어른 800원 청소년500원 어린이200원",Y,"숲속의집,야영장,숲속수련장",충청남도 서천군 종천면 희리산길 206,국립자연휴양림관리소,041-953-2230,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0187,36.11262716,126.664181,2021-07-12,4580000,충청남도 서천군
금봉자연휴양림,경상북도,공유림,380,800,"1,000원",y,산림휴양관외,경상북도 의성군 옥산면 휴양림길 114,경상북도 의성군청,054-833-0123,http://www.foresttrip.go.kr,36.3360183,128.8807891,2021-06-30,5150000,경상북도 의성군
용봉산자연휴양림,충청남도,공유림,1905504,3000,개인 일반 1000+청소년·군인 800+어린이 400+단체 일반 800 +청소년·군인 600 +어린이 200,N,산림휴양관 숲속의집 산림전시관,충청남도 홍성군 홍북읍 용봉산2길 87,홍성군청 산림녹지과,041-630-1785,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030080,36.64528712,126.6566318,2022-01-31,4600000,충청남도 홍성군
춘천숲자연휴양림,강원도,공유림,808043,400,일반2000원+단체1500원,Y,숲속의 집 산림휴양관 글램핑장,강원도 춘천시 동산면 종자리로 224-104,강원도 춘천시청,033-264-1156,www.ccforest.or.kr,37.747732,127.742503,2022-01-19,4180000,강원도 춘천시
망경대산자연휴양림,강원도,국유림,51,4,3000,Y,숲속의집,강원도 영월군 중동면 선도우길 177,영월군시설관리공단,033-375-8765,https://www.mgds.kr:454/,37.1838677681,128.5934844980,2020-01-01,4270000,강원도 영월군
구재봉자연휴양림,경상남도,공유림,1140,91,1000,Y,"휴양관,숲속의집,트리하우스",경상남도 하동군 적량면 중서길 60-81,하동군산림녹지과,070-8855-8010,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030072,35.1289579366,127.7440937074,2020-12-10,5440000,경상남도 하동군
편백자연휴양림,경상남도,공유림,503,50,1000,Y,숲속의집,경상남도 하동군 옥종면 위태리 산281-3,하동군산림녹지과,070-8994-0717,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030103,35.1858764,127.8484386,2020-12-10,5440000,경상남도 하동군
교래자연휴양림,제주특별자치도,공유림,230,1500,어른1000원+청소년·군인600원,Y,휴양림+숙박동+야영장+야외공연장+풋살경기장+다목적운동장,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도청,064-783-7482,http://www.jeju.go.kr/jejustoneparkforest/index.htm,33.4513637573,126.6567108939,2020-12-01,6500000,제주특별자치도
서귀포자연휴양림,제주특별자치도,국유림,255,1500,일반1000원+청소년600원+어린이300원,Y,휴양림+숲속의집+산림휴양관+세미나실+야영데크,제주특별자치도 서귀포시 1100로 882,서귀포시청,064-738-4544,http://healing.seogwipo.go.kr/index.htm,33.3115002499,126.458761,2020-12-01,6500000,제주특별자치도
붉은오름자연휴양림,제주특별자치도,공유림,190,1500,일반1000원+청소년·군인600원,Y,휴양림+숲속의집+산림문화휴양관+산림욕장+잔디광장+세미나실,제주특별자치도 서귀포시 표선면 남조로1487-73,서귀포시청,064-782-9171,http://healing.seogwipo.go.kr/index.htm,33.4014295763,126.6756715619,2020-12-01,6500000,제주특별자치도
절물자연휴양림,제주특별자치도,국유림,300,2000,일반1000원+청소년600원+어린이300원,Y,휴양림+숲속의집+숲속수련장+세미나실+등산로,제주특별자치도 제주시 명림로 584,제주시청,064-728-1510,http://jeolmul.jejusi.go.kr/,33.4400488067,126.6252034012,2020-12-01,6500000,제주특별자치도
흥부골자연휴양림,전라북도,공유림,1004157,60,"일반1000원+단체800원일반, 단체, 청소년 등 구분별 상세 이용요금",Y,"숲속의집, 야영장 등",전라북도 남원시 인월면 구인원길 125,전라북도 남원시청,063-636-4032,www.foresttrip.go.kr,35.450932,127.590258,2021-09-14,4700000,전라북도 남원시
비학산자연휴양림,경상북도,공유림,2280000,150,"숙박 : 7만원, 11만원, 14만원",Y,"산림휴양관, 숲속의 집, 테라스하우스, 카라반, 야외데크, 생태숲 등",경상북도 포항시 북구 기북면 비학산길 302,포항시청,054-252-3275,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030052,36.14703337,129.2111071,2021-09-14,5020000,경상북도 포항시
백아산자연휴양림,전라남도,공유림,1000000,170,어른1000원+청소년600원+어린이400원,Y,"족구장,정자,계곡데크",전라남도 화순군 백아면 수양로 353,전라남도 화순군청,061-379-3738,http://forest.hwasun.go.kr,35.15137582,127.1671251,2021-09-14,4900000,전라남도 화순군
한천자연휴양림,전라남도,공유림,1480000,86,어른1000원+청소년600원+어린이400원,Y,"캠핑장,데크,잔디광장, 정자, 물썰매장",전라남도 화순군 한천면 죽헌로 719,전라남도 화순군청,061-379-3734,http://forest.hwasun.go.kr,34.98834125,127.0454803,2021-09-14,4900000,전라남도 화순군
회문산자연휴양림,전라북도,국유림,2890000,300,"어른 1,000원 청소년 600원 어린이 300원",Y,숲속의 집+산림문화 휴양관+야영시설,전라북도 순창군 구림면 안심길 295,국립자연휴양림관리소,063-653-4779,http://www.huyang.go.kr/forest/contentIntro.action?dprtmId=0188,35.50195867,127.1148251,2021-09-30,4770000,전라북도 순창군
공주산림휴양마을,충청남도,공유림,518270,250,무료,Y,숲속의집/휴양관/야영장/목재문화체험장,충청남도 공주시 수원지공원길 222,공주시청,041-855-0855,http://jumisan.gongju.go.kr,36.42442578,127.1193201,2021-10-22,4500000,충청남도 공주시
숲체원,강원도,국유림,159710,300,별도 입장료 없음,Y,"탐방로, 숙박동, 강의실",강원도 횡성군 둔내면 청태산로 777,산림청,033-340-6300,https://hoengseong.fowi.or.kr/,37.53722046,128.2866886,2021-12-25,4260000,강원도 횡성군
청태산휴양림,강원도,국유림,159520,1500,일반 : 1000원+청소년 : 600원+어린이 : 300원,Y,"제1산림문화휴양관, 제2산림문화휴양관, 숲속의집, 숲속수련장(중형, 소형), 대형숲속수영장(회의실), 야영장, 인도네시아 전통 전시관, 숲생태체험실, BIY목공교실",강원도 횡성군 둔내면 청태산로 610,산림청,033-343-9707,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0106,37.52907993,128.2968658,2021-12-25,4260000,강원도 횡성군
문수산 산림욕장,경기도,공유림,700000,250,주차료(1000~5000원),N,"숲길,산림욕장",경기도 김포시 월곶면 문수산로 102-38,김포도시관리공사,031-988-2965,https://www.guc.or.kr/facility/park_moonsoosan.asp,37.737829,126.5308885,2021-12-16,4090000,경기도 김포시
충북알프스자연휴양림,충청북도,공유림,902000,287,0,Y,"숲속의집,세미나실,목공예체험장 등",충청북도 보은군 산외면 속리산로 1880,속리산휴양사업소,043-540-3712,https://alpshuyang.foresttrip.go.kr/,36.57316547,127.7858442,2021-12-15,4420000,충청북도 보은군
속리산 숲체험휴양마을,충청북도,공유림,1100000,350,0,Y,"한옥마을 ,황토마을, 통나무마을 등",충청북도 보은군 속리산면 속리산로 596,속리산휴양사업소,043-540-3220,http://songnihuyang.foresttrip.go.kr/,36.49245442,127.792472,2021-12-15,4420000,충청북도 보은군
치악산자연휴양림,강원도,공유림,1700000,120,"일반(개인 2000, 청소년 및 군인 1500, 어린이 1000), 단체(어른 1500, 청소년 및 군인 1000, 어린이 700)",Y,"숲속의집,주차장,야영장",강원도 원주시 판부면 휴양림길 66,강원도 원주시 산림과,033-762-8288,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030024,37.255878,128.031372,2021-11-30,4190000,강원도 원주시
순천자연휴양림,전라남도,사유림,90000,265,없음,Y,"관리사무실 1동, 숙박시설 14동 23실, 캐빈하우스 6동 텐트19면",전라남도 순천시 서면 청소년수련원길 170,전라남도 순천시청,061-749-8948,www.foresttrip.go.kr,35.04388083,127.4744949,2022-01-28,4820000,전라남도 순천시
봉수산자연휴양림,충청남도,공유림,948780,171,0,Y,"숲속의집,산림문화휴양관",충청남도 예산군 대흥면 임존성길 153,예산군 관광시설사업소 휴양림팀,041-339-8936,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030028,36.59844872,126.7808937,2022-01-25,4610000,충청남도 예산군
양촌자연휴양림,충청남도,공유림,405274,121,(일반)1000원+(단체)800원,Y,글램핑장(4동)+숲속의집(10동)+휴양관(7실),충청남도 논산시 양촌면 매죽헌로1723번길 176-23,충청남도 논산시청,041-746-6481,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030034,36.15726044,127.2464846,2021-09-30,4540000,충청남도 논산시
화왕산자연휴양림,경상남도,공유림,643000,70,"[휴양관 4인실 : (비수기및주중)50000원+(성수기및주말)75000원]+[휴양관 8인실 : (비수기및주중)80000원+(성수기및주말)100000원]+[숲속의 집(7인실) : (비수기및주중)70000원+ (성수기및주말)90,000원]+[야영데크 : (1박)5000원]+[주차료 : (경형)1000원+(중소형)2000원+(대형)3000원+(산림휴양관, 숲속의 집 이용시) 면제]",Y,휴양관+야영데크+바비큐장+숲길,경상남도 창녕군 고암면 청간길 128-126,경상남도 창녕군산림조합,055-533-2332,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030015,35.54697823,128.5673185,2022-01-18,5410000,경상남도 창녕군
민주지산자연휴양림,충청북도,공유림,1800000,394,"어른 1,000원, 청소년 500원 , 어린이 300원",Y,"버섯동,야생화동,국악동,식당, 황토방, 황토찝질방, 학습관, 너와집,산림문화휴양관1,2층 세미나실,치유숙소6개소,치유센터,진료동, 치유센터치유동,야외 치유시설, 야영장, 족구장 등",충청북도 영동군 용화면 조동리 민주지산로 60,충청북도 영동군청 산림과,043-740-3438,https://yd21.go.kr/portal/html/sub04/0404.html,36.0573434,127.8251649,2020-11-27,4440000,충청북도 영동군
운문산자연휴양림,경상북도,국유림,170000,1000,1000원,Y,숲속의집+산림문화휴양관+숲속수련장+야영시설,경상북도 청도군 운문면 운문로 763,국립자연휴양림관리소,054-373-1327,http://www.huyang.go.kr,35.6483467486,129.0262079787,2020-06-30,5190000,경상북도 청도군
주작산자연휴양림,전라남도,공유림,1690000,138,0,Y,"휴양관,숲속의집,세미나실 등",전라남도 강진군 신전면 주작산길 262,강진군,061-430-3306,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030060,34.5172932,126.6989685,2021-02-08,4920000,전라남도 강진군
흥림산자연휴양림,경상북도,공유림,64,112,무료,Y,"산림문화휴양관, 숲속의집",경상북도 영양군 일월면 재일로 2394-70,경상북도 영양군청 산림축산과 산지이용담당,054-680-5050,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030057,36.70182591,129.1124232,2021-09-03,5170000,경상북도 영양군
청송자연휴양림,경상북도,공유림,2110000,160,"개인:어른(1000), 청소년(600), 어린이(300), 단체:어른(800), 청소년(500), 어린이(200)",Y,"숲속의 집, 연수의집",경상북도 청송군 부남면 청송로 3478-96,경상북도 청송군청,054-872-3163,http://csong.foresttrip.go.kr/,36.3179023,129.0537598,2021-09-28,5160000,경상북도 청송군
토함산자연휴양림,경상북도,공유림,1211344,330,개인-어른 1000원+청소년/군인 700원+어린이 500원+단체-어른 700원+청소년/군인 500원+어린이 300원+경주시민 무료,Y,"숲속의집, 화랑관, 야영장, 국학관(세미나실) 등",경상북도 경주시 양북면 불국로 1208-45,경상북도 경주시,054-750-8700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030027,35.76191761,129.3654772,2021-09-29,5050000,경상북도 경주시
입화산 자연휴양림,울산광역시,공유림,380291,0,없음,N,"오토캠핑장, 일반야영장, 산림욕장, 숲속도서관, 네이처스포츠, 모노레일",울산광역시 중구 다운동 산47-1번지,울산광역시 중구,052-290-4410,http://www.junggu.ulsan.kr/camping/,35.578739,129.279479,2021-09-27,3690000,울산광역시 중구
평창자연휴양림,강원도,공유림,540000,80,일반2000원+단체1500원,Y,숙박동+세미나실+운동장+산책로,강원도 평창군 봉평면 팔송로 285,평창군청 산림과,033-339-9028,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030003,37.609548,128.303521,2021-09-15,4280000,강원도 평창군
데미샘자연휴양림,전라북도,공유림,200000,131,무료,Y,"휴양관, 숲속의집, 숲문화마당, 명상의숲 등",전라북도 진안군 백운면 데미샘 1길 172,산림환경연구소,063-290-6992,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,35.656988,127.461036,2021-09-24,6450000,전라북도
불갑사 관광휴양단지,전라남도,사유림,106300,200,무료,Y,"관광지,힐링컨벤션센터",전라남도 영광군 불갑면 자비길 51-38,전라남도 영광군청,061-353-4476,glory-healing.com,35.202988,126.5367799663,2021-09-15,4970000,전라남도 영광군
데미샘자연휴양림,전라북도,공유림,200,107,무료,Y,"휴양관,숲속의집, 숲문화마당, 명상의숲 등",전라북도 진안군 백운면 데미샘 1길 172,전라북도 산림환경연구소,063-290-6993,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,35.660012,127.463012,2021-09-15,4730000,전라북도 진안군
운장산자연휴양림,전라북도,국유림,1958,600,"일반인(개인 1,000/단체 800) 청소년(개인 600/단체 500) 어린이(개인 300/단체 200)",Y,"숲속의집,연립동, 산림문화휴양관, 숲속수련관",전라북도 진안군 정천면 휴양림길 77,무주국유림관리소,063-432-1193,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0194,35.893645,127.468017,2021-09-15,4730000,전라북도 진안군
수도산 자연휴양림,경상북도,공유림,590445,206,0,Y,"숲속의집, 힐하우스. 숲속휴양관, 숲속수련관",경상북도 김천시 대덕면 증산로 326-71,김천시,054-435-5128,sudosanhuyang.gc.go.kr,35.89180240,127.98384630,2021-09-16,5060000,경상북도 김천시
소선암자연휴양림,충청북도,공유림,633137,500,무료,Y,"통나무집, 숲속의집, 산림문화휴양관, 산림복합휴양관, 백두대간 문화휴양관",충청북도 단양군 단성면 대잠2길15,충청북도 단양군청,043-422-7839,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030009,36.91922041,128.3123141,2021-09-14,4480000,충청북도 단양군
학가산우래자연휴양림,경상북도,사유림,1328133,220,성인3000+성인단체(20인이상)2000+청소년·어린이2000+청소년단체(20인이상)1000,Y,"숲속의 집, 산림휴양관 등",경상북도 예천군 보문면 휴양림길 210,(주)학가산자연휴양림개발,054-652-0114,숲나들e (https://www.foresttrip.go.kr/main.do?hmpgId=FRIP),36.677929,128.592876,2021-09-15,5230000,경상북도 예천군
한방자연휴양림,경상남도,공유림,1376062,124,무료,Y,"숲속의집, 숲속휴양관, 세미나실",경상남도 산청군 금서면 동의보감로555번길 186,경상남도 산청군,055-970-6951,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030037,35.43403493,127.8236813,2022-01-12,5450000,경상남도 산청군
바라산자연휴양림,경기도,공유림,2085484,470,없음,Y,"숲속의집,야영장,치유의숲,체험의숲,산림문화휴양관",경기도 의왕시 바라산로 84,의왕도시공사,031-8086-7482,barasan.foresttrip.go.kr/,37.37310185,127.0193147,2021-12-31,4030000,경기도 의왕시
삼척활기자연휴양림,강원도,사유림,75625,175,0,Y,"휴양관(송폭헌), 한옥(방우재), 한옥(세우재),숲속의집(구희당),숲속의집(삼락당)",강원도 삼척시 미로면 준경길 651-43(지번활기리 403-1),삼척동해태백산림조합,033-574-0032,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030104,37.38099374,129.0601226,2022-01-11,4240000,강원도 삼척시
간월산자연휴양림,울산광역시,사유림,597890,200,주중10~20만원+주말15~30만원,Y,"관리실,수영장,연수원",울산광역시 울주군 상북면 작괘로 607-15,천광디엔씨,052-263-6644,http://www.gwhuyang.co.kr/,35.5670959,129.0560416,2022-01-10,3730000,울산광역시 울주군
옥화자연휴양림,충청북도,공유림,1364921,244,어른 1000원 + 청소년 500원 + 어린이 300원 + 군인 500원 + 지역주민 500원,Y,숲속의집 산림휴양관 캠핑장 산책로 등,충청북도 청주시 상당구 미원면 운암옥화길 140,충청북도 청주시청(위탁운영),043-270-7381,https://www.foresttrip.go.kr,36.59895012,127.6943716,2021-12-31,6430000,충청북도
문성자연휴양림,충청북도,공유림,566569,180,무료,Y,숲속의집 단체숙소 휴양관 유아숲체험원 목재문화체험장 짚라인 오토캠핑장 산책로 등,충청북도 충주시 노은면 우성1길 191,충청북도 충주시청(위탁운영),043-850-7346,https://www.foresttrip.go.kr,37.02832602,127.7525217,2021-12-31,6430000,충청북도
봉황자연휴양림,충청북도,공유림,1720000,176,무료,Y,숲속의집 단체숙소 산책로 등,충청북도 충주시 중앙탑면 수룡봉황길 540,충청북도 충주시청(위탁운영),043-850-7315,https://www.foresttrip.go.kr,37.05652228,127.8297465,2021-12-31,6430000,충청북도
구름산산림욕장,경기도,국유림,3000000,300,무료,N,"피크닉장, 황토길, 세족장, 야외소공연장, 놀이시설",경기도 광명시 하안동 산141-7,광명시,02-2680-2377,http://www.gm.go.kr/pt/user/bbs/BD_selectBbs.do?q_bbsCode=2298&q_bbscttSn=20190218155830749,37.454013,126.876365,2020-12-18,3900000,경기도 광명시
여수봉황산자연휴양림,전라남도,공유림,2290000,100,1000,Y,"숲속의집,야영장 등",전라남도 여수시 돌산읍 대복길160,전라남도 여수시청,061-643-9180,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030097,34.6147023710,127.7617998912,2020-12-09,4810000,전라남도 여수시
