축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
청소년 행복주간 지역마을축제,의정부예총,2022-05-25,2022-05-25,"청소년 체험부스, 청소년 공연",흥선청소년문화의집,흥선청소년문화의집,,031-828-9593,http://www.uiyouth.or.kr,홈페이지 참조,경기도 의정부시 의정로80번길 18,경기도 의정부시 의정부동 477-1,37.73969683,127.0358325,2022-02-17,3820000,경기도 의정부시
신창동 어울림축제,신창동 공방의 거리,2017-10-28,2017-10-28,"주민운동회, 주민회의, 노래자랑, 나눔장터, 프리마켓 등",신창동 마을축제 추진위원회,광주광역시 광산구 신창동,,,,,광주광역시 광산구 왕버들로 291,,35.1956384,126.840969,2019-01-01,3630000,광주광역시 광산구
제2회 하남동 도농공 한울타리 어울림축제,경암근린공원,2017-10-28,2017-10-28,"기념식, 문화공연, 주민노래자랑, 플리마켓 등",하남동 한울타리 어울림축제 추진위원회,광주광역시 광산구 하남동,,,,,광주광역시 광산구 하남대로54번안길 133,,35.178175,126.7999659,2019-01-01,3630000,광주광역시 광산구
울릉해변가요제,저동항,2020-08-01,2020-08-31,"군민가요제, 불꽃놀이",(사)울릉청년단,울릉군,,054-791-4116,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1991&,주민과 관광객들의 만남의 장으로 한여름밤의 낭만을 즐길 수 있는 행사,,경상북도 울릉군 울릉읍 도동리 300-8,37.48430421,130.9056438,2020-12-31,5260000,경상북도 울릉군
우산문화제,도동항,2020-09-01,2020-10-31,"개막축하행사전통민속놀이, 체험행사 등",울릉문화원,울릉군,,054-791-0245,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1988&,울릉도 개척 정신을 기리고 울릉이 문화의 고장임을 널리 소개,,경상북도 울릉군 울릉읍 도동리 169,37.48343755,130.9020734,2020-12-31,5260000,경상북도 울릉군
오징어축제,저동항,2020-06-12,2020-06-14,"오징어 맨손잡기, 요리경연, 뗏목경주등",울릉군 축제위원회,울릉군,"경상북도, 관내 기관 및 사회단체",054-790-6392,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1986&,"울릉도의 비경을 배경으로 푸른 동해 바다에서 오징어를 잡아보고,오징어 건조과정을 체험하면서 각종 오징어요리를 즐길 수 있는 행사",,경상북도 울릉군 울릉읍 도동리 300-8,37.48430421,130.9056438,2020-12-31,5260000,경상북도 울릉군
회당문화재,도동항,2020-07-01,2020-07-02,"버스킹, 전시 및 체험행사, 독도아리랑 콘서트 진행(메인)",대한불교진각종,대한불교진각종,울릉군,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1992&,"버스킹, 전시 및 체험행사, 독도아리랑 콘서트 등 다양한 문화행사로 진행",,경상북도 울릉군 울릉읍 도동리 169,37.48343755,130.9020734,2020-12-31,5260000,경상북도 울릉군
민속그네뛰기,사동 자생식물원,2020-06-25,2020-06-25,그네뛰기,울릉문화원,울릉문화원,울릉군,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1989&,전통문화 계승발전과 건전한 사회 기풍을 조성함과 향토문화 창달에 기여,경상북도 울릉군 울릉읍 간령길 83-18,,37.46024044,130.8735494,2020-12-31,5260000,경상북도 울릉군
최남단 모슬포 방어축제,모슬포항 일원,2021-11-15,2021-11-30,드라이스루(비대면)및 온라인행사(방어.부시(포장)판매 등),최남단방어축제위원회,최남단방어축제위원회,,064-794-8032,http://bangeofestival.com/,,제주특별자치도 서귀포시 대정읍 최남단해안로 120,,33.2100651,126.2583797,2021-12-15,6500000,제주특별자치도
아트제주 2021,메종 글래드 제주,2021-12-15,2021-11-28,제주 최대 규모의 국제 아트페어 아트제주를 통해 국내외 갤러리가 선별한 현대미술품을 한 자리에서 만나보자.,사)섬아트제주,제주특별자치도,제주특별자치도개발공사. 메종글래드제주. 월정아트센터,064-738-3366,https://www.artjejukorea.com/,,제주특별자치도 제주시 노연로 80,,33.4856126,126.488913,2021-12-15,6500000,제주특별자치도
한림공원 국화축제,한림공원 산야초원 內 플라워가든,2021-11-06,2021-11-28,올해 창립50주년이 된 제주 대표 관광지 한림공원이 봄부터 사랑과 정성을 다해 정성껏 가꾸어온 국화 수십만송이의 국화 작품이 어우러져 아름다운 국화 정원을 선보인다.,한림공원,한림공원,,064-796-0001,http://www.hallimpark.com/,,제주특별자치도 제주시 한림읍 한림로 300,,33.390213,126.2396912,2021-12-15,6500000,제주특별자치도
제주허브동산 겨울동백축제,제주허브동산,2021-11-25,2022-01-15,허브동산은 겨울 동백 축제를 위해 풍차 전망대. 애기동백과 함께 사진을 남길 수 있는 Camelia Avenue. 기찻길을 따라 동백이 줄지어 서있는 Camelia Station을 조성했다.,제주허브동산,제주허브동산,,064-787-7362,www.herbdongsan.com,,제주특별자치도 서귀포시 표선면 돈오름로 170,,33.3291241,126.8147261,2021-12-15,6500000,제주특별자치도
제주국제관악제,제주아트센터. 세계자동차&피아노박물관,2021-12-03,2021-12-07,제주의 겨울 그리고 금빛나팔소리 제주국제관악제 겨울,제주국제관악제 조직위원회,제주국제관악제 조직위원회,,064-710-3495,http://www.jiwef.org/intro/index.php,,제주특별자치도 제주시 동광로 69,,33.5044361,126.5351724,2021-12-15,6500000,제주특별자치도
울산쇠부리축제,달천철장 일원,2022-05-13,2022-05-15,"체험,전시,학술 등",울산쇠부리축제 추진위원회,울산광역시 북구,,052-293-3500,www.soeburi.org,,울산광역시 북구 달천철장길 58,울산광역시 북구 달천동 1-7,35.63421726,129.3289893,2021-12-20,3720000,울산광역시 북구
추억의 충장축제,"광주 동구 충장로, 금남로, 문화전당, 예술의 거리 일원",2021-11-18,2021-11-21,"충장 퍼레이드, 추억의 테마거리, 추억의 고고장, 대학가요제 리턴즈, 충장달빛캠핑",광주광역시 동구,광주광역시 동구,"문화체육관광부, 광주광역시",062-608-2421,http://www.donggu.kr/index.es?sid=c8,,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,35.1461414,126.9230951,2021-12-20,3590000,광주광역시 동구
주안미디어문화축제,옛시민회관 쉼터 등 미추홀구 전역,2023-01-01,2023-12-31,미추홀의 특색있는 문화자원과 미디어 분야의 융합 콘텐츠를 만날 수 있는 축제 프로그램,인천광역시 미추홀구,인천광역시 미추홀구,,032-880-7978,https://www.michuhol.go.kr/culture/main.do,,,인천광역시 미추홀구 주안동 190-4,37.4588336,126.6796135,2022-02-22,3510500,인천광역시 미추홀구
별밤포차,상주은모래비치,2022-04-01,2022-12-31,별밤포차4개소운영 및 공연,상주번영회,경상남도 남해군,경상남도 남해군,055-860-8603,http://tour.namhae.go.kr/main.web,,경상남도 남해군 상주면 상주로 10-3,경상남도 남해군 상주면 상주리 1136-1,34.7222114298,127.9874444630,2022-02-24,5430000,경상남도 남해군
고현 관음포 둑방길 봄꽃축제,고현면 일원,2022-04-01,2022-04-30,"봄꽃 관람, 특산물 판매 및 홍보 부스 운영",고현둑방공원마을공동체,경상남도 남해군,경상남도 남해군,055-860-8603,http://tour.namhae.go.kr/main.web,,,경상남도 남해군 고현면 포상리 986-5,34.8979403331,127.8685968241,2022-02-24,5430000,경상남도 남해군
창선고사리 삼합축제,창선면 일원,2022-05-01,2022-05-30,먹거리 및 지역특산물 판매 운영,창선고사리삼합축제추진위원회,경상남도 남해군,경상남도 남해군,055-860-8603,http://tour.namhae.go.kr/main.web,,,경상남도 남해군 창선면 상죽리 10-18,34.86151038,128.0172216,2022-02-24,5430000,경상남도 남해군
보물섬 남해 커피축제,남해읍 일원,2022-05-01,2022-05-30,"로스팅, 핸드드립 등 체험행사",보물섬바리스타협의회,경상남도 남해군,경상남도 남해군,055-860-8603,http://tour.namhae.go.kr/main.web,,경상남도 남해군 남해읍 화전로 83,경상남도 남해군 남해읍 북변리 157,34.8387158782,127.8938765987,2022-02-24,5430000,경상남도 남해군
여주도자기축제,여주 프리미엄아울렛 EAST광장 일원,2022-04-08,2022-04-17,"도자기 전시 및 판매, 소공연",여주세종문화재단,여주시,,031-881-9693,www.yjcf.or.kr,신륵사 명성황후생가 영릉 황학산수목원 등,경기도 여주시 명품로 360,경기도 여주시 상거동 460,,,2022-02-17,5700000,경기도 여주시
달맞이축제,울릉예술문화체험장(구.장흥초등학교),2020-02-08,2020-02-08,달집태우기,정월대보름 장흥달맞이 놀이마당추진위원회,정월대보름 장흥달맞이 놀이마당추진위원회,,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1994&,우리 전통문화를 선양하고 사라져가는 세시풍습을 재현하여 민속축제로 승화,경상북도 울릉군 울릉읍 옥천길 8,,37.47367561,130.8875026,2020-12-31,5260000,경상북도 울릉군
태하성하신당제,서면 태하 성하신당,2020-03-24,2020-03-24,기원행사,울릉문화원,울릉문화원,,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1990&,"행토발전의 결의를 새롭게 다지고 지역경제 활성화를 기원하고 풍어, 풍년을 기원하는 제전",경상북도 울릉군 서면 태하길 154,,37.51222566,130.800884,2020-12-31,5260000,경상북도 울릉군
농악대축제,시민운동장,2016-10-22,2016-10-23,농악행사,농악보존회,광명시,광명시의회,02-899-1664,,구름산예술제(시민회관),경기도 광명시 오리로703 광명시민운동장,경기도 광명시 하안1동 577,37.4620073,126.8714551,2020-12-18,3900000,경기도 광명시
농악대축제,시민운동장,2015-10-17,2015-10-18,농악행사,농악보존회,광명시,광명시의회,02-899-1664,,구름산예술제(시민회관),경기도 광명시 오리로703 광명시민운동장,경기도 광명시 하안1동 577,37.4620073,126.8714551,2020-12-18,3900000,경기도 광명시
구름산예술제,시민회관,2015-10-17,2015-10-18,예술전시및행사,예총,광명시,광명시의회,02-2680-6871,,농악대축제(시민운동장),경기도 광명시 시청로20 광명시민회관,경기도 광명시 철산동222-1 광명시민회관,37.4776304,126.8646268,2020-12-18,3900000,경기도 광명시
제14회 광명시평생학습축제,광명시 전역,2015-09-07,2015-09-20,학술 컨퍼런스 외,광명시평생학습네트워크협의체,광명시,없음,02-2680-6200,http://lll.gm.go.kr/site/festival,광명8경,"경기도 광명시 오리로 854번길 10(철산동, 광명시평생학습원)",경기도 광명시 철산동 419,37.4743772,126.8684796,2020-12-18,3900000,경기도 광명시
제2회 밤일음식문화 거리 축제,밤일음식문화거리 내,2016-06-10,2016-06-10,"음식점할인행사, 무료시식, 노래자랑, 초대공연 등",밤일음식문화거리 상가번영회,광명시,광명시의회,02-2680-5484,,경기도 지정 밤일음식문화특화거리,경기도 광명시 밤일안로 일대,경기도 광명시 밤일안로 일대,37.453842,126.860748,2020-12-18,3900000,경기도 광명시
구름산예술제,시민회관,2016-10-22,2016-10-23,예술전시및행사,예총,광명시,광명시의회,02-2680-6871,,농악대축제(시민운동장),경기도 광명시 시청로20 광명시민회관,경기도 광명시 철산동222-1 광명시민회관,37.4776304,126.8646269,2020-12-18,3900000,경기도 광명시
제16회 광명시평생학습축제,광명시 전역,2017-09-09,2017-09-23,학술 컨퍼런스 외,광명시평생학습네트워크협의체,광명시,없음,02-2680-6200,http://lll.gm.go.kr/site/festival,광명8경,경기도 광명시 오리로854번길 10,경기도 광명시 철산3동419,37.474331,126.868457,2020-12-18,3900000,경기도 광명시
제26회 오리문화제,광명시민체육관,2017-05-18,2017-05-20,"오리이원익 영우참배/헌화식, 전시,체험마당, 먹거리장터, 학술행사 등",광명문화원,광명시,광명시의회,02-2680-6223,www.gmcc.or.kr/,,경기도 광명시 밤일안로,경기도 광명시 철망산로 42,37.463301,126.870701,2020-12-18,3900000,경기도 광명시
구름산예술제,시민회관,2017-09-23,2017-09-24,예술전시및행사,예총,광명시,광명시의회,02-2680-6871,,농악대축제(시민운동장),경기도 광명시 시청로 20,경기도 광명시 철산2동222-1 광명시민회관,37.4790975,126.8648458,2020-12-18,3900000,경기도 광명시
농악대축제,시민운동장,2017-10-20,2017-10-22,농악행사,농악보존회,광명시,광명시의회,02-899-1664,,구름산예술제(시민회관),경기도 광명시 오리로 703,경기도 광명시 하안1동577,37.46251877,126.8711648,2020-12-18,3900000,경기도 광명시
"소하도서관 책축제 팔짱, 책을 품다",소하도서관 광장 및 한내천 일대,2016-04-15,2016-04-15,"프리마켓, 책축제, 전시, 공연, 체험",소하도서관 청소년수련관,광명시,없음,02-2680-0926,http://www.gmlib.or.kr/soha,팔짱(청소년수련관),경기도 광명시 소하일로7,경기도 광명시 소하동 1331,37.44545992,126.8879915,2020-12-18,3900000,경기도 광명시
농악대축제,시민운동장,2018-10-27,2018-10-28,농악행사,농악보존회,광명시,광명시의회,02-899-1664,,,경기도 광명시 시청로 20,경기도 광명시 철산3동222-1,37.4790975,126.8648458,2020-12-18,3900000,경기도 광명시
구름산예술제,시민체육관,2018-08-31,2018-09-02,예술 전시 및 부대행사,한국예총광명지회,광명시,광명시의회,02-2680-6871,,,경기도 광명시 오리로 703,경기도 광명시 하안1동577,37.46251877,126.8711648,2020-12-18,3900000,경기도 광명시
제7회 목감천 친환경 축제,우리공원,2019-05-25,2019-05-25,주민자치프로그램 공연 및 목감천 가요제 등,광명6동주민자치위원회 및 유관단체,목감천친환경축제위원회,없음,02-2680-6672,,,경기도 광명시 광명로791번길6,,37.4710361,126.8486332,2020-12-18,3900000,경기도 광명시
평생학습도시 선언 20주년 컨퍼런스,광명시평생학습원,2019-11-01,2019-11-01,평생학습도시 선언 20주년 컨퍼런스 및 전시,평생학습원,광명시,광명시의회,02-2680-2549,,,"경기도 광명시 오리로 854번길 10(철산동, 광명시평생학습원)","경기도 광명시 오리로 854번길 10(철산동, 광명시평생학습원)",37.4743772,126.8684796,2020-12-18,3900000,경기도 광명시
2021 서귀포문화재 야행,서귀포문화재 일원을 찬찬히 걸으며 문화를 향유하는 서귀포문화재 야행,2021-10-08,2021-10-11,신들의 정원 서귀포,(사)제주마을문화진흥원,문화재청+제주특별자치도,,070-8990-9999,,,제주특별자치도 서귀포시 칠십리로 145,,33.2443818,126.5689264,2021-12-15,6500000,제주특별자치도
문화 향유의 공간 탐나는 원도심,탐라문화광장 등 원도심 일대,2021-10-15,2021-11-27,제주관광공사는 10월 15일부터 오는 11월 27일까지 매 주말마다 탐라문화광장 등 원도심 일대에서 탐나는 버스킹(버스킹공연). 탐나는 시네마(영화 상영). 탐나는 이벤트(지역상권 활성화 이벤트). 스트링 전구 설치로 구성된 「문화 향유의 공간. 탐나는 원도심」이라는 문화행사를 추진한다.,제주관광공사,제주관광공사,,064-740-6000,https://www.visitjeju.net/,,,제주특별자치도 제주시 일도일동 1498,33.5105121,126.526786,2021-12-15,6500000,제주특별자치도
제주허브동산 핑크뮬리축제,제주허브동산,2021-09-20,2021-11-30,제주허브동산 핑크뮬리 축제는 올해로 네 번째를 맞이하며 제주도에서 대표적인 핑크뮬리 축제로 자리매김했다.,제주허브동산,제주허브동산,,064-787-7362,http://www.herbdongsan.com/,,제주특별자치도 서귀포시 표선면 돈오름로 170,,33.3291241,126.8147261,2021-12-15,6500000,제주특별자치도
마노르블랑 핑크뮬리축제,마노르블랑,2021-09-10,2021-11-30,대한민국 핑크뮬리 성지 마노르블랑에서 핑크뮬리축제의 향연이 시작된다.,마노르블랑,마노르블랑,,064-794-0999,https://manorblanc.modoo.at/,,제주특별자치도 서귀포시 일주서로2100번길 46,,33.2548352,126.2950041,2021-12-15,6500000,제주특별자치도
산지에 색을 입히다. 컬러풀산지,탐라문화광장,2021-09-03,2021-11-27,코로나19 장기화로 침체된 탐라문화광장 일대를 환하게 밝혀 활력을 불어넣기 위해 비대면 경관조성 사업인 「산지에 색을 입히다. 컬러풀산지(컬러풀산지)」를 개최한다.,제주관광공사,제주관광공사,,064-740-6000,https://www.visitjeju.net/,,,제주특별자치도 제주시 일도일동 1498,33.5105121,126.526786,2021-12-15,6500000,제주특별자치도
휴애리 동백 축제,휴애리,2021-11-12,2021-12-31,2021 휴애리 동백축제는 서귀포시 남원읍 신례리에 위치한 휴애리의 대표 겨울축제이다.,휴애리,휴애리,,064-732-2114,http://www.hueree.com/index.php,,제주특별자치도 서귀포시 남원읍 신례동로 256,,33.30853475,126.6343808,2021-12-15,6500000,제주특별자치도
제15회 영양산나물축제,영양군청 일원,2019-05-02,2019-05-05,"판매, 체험, 공연, 부대행사",(재)영양축제관광재단,영양군,,054-680-6411,yftf.kr,축제 프로그램 등,경상북도 영양군 영양읍 군청길 37,경상북도 영양군 영양읍 서부리 379-1,36.6673577350,129.1126843895,2020-12-24,5170000,경상북도 영양군
2020 영양고추 H.O.T Festival,서울광장,2019-08-27,2019-08-29,"판매, 체험, 공연, 부대행사",영양군,영양군,"농림축산식품부, 농촌진흥청, 국립농산물품질관리원, 경상북도, KBS, 한국농수산식품유통공사,한국농어촌공사,한국식품연구원,(사)대한민국김치협회,영양고추유통공사,NH농협은행 영양군지부, 영양농협,남영양농협",054-680-6571,영양군청홈페이지 주소,"고추판매 축제,일정 등",서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,37.56631769,126.9778284,2020-12-24,5170000,경상북도 영양군
석촌호수벚꽃축제,석촌호수 일대,2021-04-02,2021-04-11,개막식 벚꽃음악회 벚꽃버스킹 벚꽃조명길 포토존 벚꽃 온라인 체험 등,서울특별시 송파구,서울특별시 송파구,,02-2147-2800,https://www.songpa.go.kr/culture/detailInfo.do?key=3794&resrceCd=CT0155-1000031&,,서울특별시 송파구 석촌호수로 197,서울특별시 송파구 잠실동 47,37.5066934,127.0989034,2021-02-17,3230000,서울특별시 송파구
한성백제문화제,올림픽공원 일대,2021-09-29,2021-10-03,역사문화거리행렬 한성백제체험마을 한성백제갈라퍼레이드 개폐막식 등 축하공연 한성백제 성곽돌기 각종 체험행사 등,한성백제문화제추진위원회,서울특별시 송파구,,02-2147-2800,https://www.songpa.go.kr/hanseong/index.do?,,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88,37.52034114,127.1155184,2021-02-17,3230000,서울특별시 송파구
향촌동수제화골목 2018년「빨간구두 이야기」,향촌동수제화골목 일원,2018-10-13,2018-10-14,"무대행사, 체험행사, 부대행사 등",대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구,053-661-2046,,,대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 15-2,35.8728473,128.591844,2021-08-20,3410000,대구광역시 중구
김광석추모콘서트,김광석길야외콘서트홀,2019-01-06,2019-01-06,초청가수콘서트,대봉문화마을협의회,대봉문화마을협의회,대구광역시 중구,053-661-2173,,,대구광역시 중구 동덕로8길34-20,대구광역시 중구 대봉동 6-5,,,2021-08-20,3410000,대구광역시 중구
2019 대구약령시한방문화축제,약령시(약전골목) 일원,2019-05-02,2019-05-06,"경연, 참여, 체험, 전시, 공연, 먹거리 등",(사)약령시보존위원회,대구광역시+대구광역시 중구,문화체육관광부+한국관광공사+대구시 한약협회+대구시 한의사회+한약도매협회 대구시지회+(주)대구시한약재도매시장,053-661-2178,,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,2021-08-20,3410000,대구광역시 중구
대구 문화재 야행,"약령시, 청라언덕",2019-08-23,2019-08-24,"문화(재)시설 오픈하우스, 전시, 공연, 체험, 강좌, 투어 등",대구광역시 중구,대구광역시 중구,문화재청+대구광역시,053-661-2181,,,대구광역시 중구 달구벌대로 415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085,2021-08-20,3410000,대구광역시 중구
향촌동수제화골목 2019년「빨간구두 이야기」,향촌동수제화골목 일원,2019-10-19,2019-10-20,"무대행사, 체험행사, 부대행사 등",대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구,053-661-2046,,,대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 14-1,35.8728473,128.591844,2021-08-20,3410000,대구광역시 중구
