관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
수리사,관광지,경기도 군포시 속달로 347-181,경기도 군포시 속달동 329,37.3544360665,126.8967938163,1,화장실,없음,유선문의,유선문의,유선문의,유선문의,2021-05-12,100,1,진흥왕 때 세워진 수리사는 6.25전쟁을 거치며 모든 건물들이 소실되었다가 꾸준히 복원되어 오늘에 이르고 있다.,031-438-1823,군포시,2021-05-12,4020000,경기도 군포시
물누리체험관,관광지,경기도 군포시 호수로 170-85,경기도 군포시 둔대동 301-5,37.3213650505,126.8996775289,1,화장실,없음,유선문의,유선문의,유선문의,유선문의,2021-05-12,100,1,물과 관련된 다양한 체험프로그램이 있는 물누리체험관,031-390-8688,군포시,2021-05-12,4020000,경기도 군포시
누리천문대,관광지,경기도 군포시 대야2로 139,경기도 군포시 대야미동 636-7,37.3302828307,126.9153443922,1,화장실,없음,유선문의,유선문의,유선문의,유선문의,2021-05-12,100,1,"천문우주체험관. 4D입체상영관, 플라네타리움 등 유익하고 알찬 시설을 갖춘 최첨단 과학문화 공간, 대야도서관 4층에 있다.",031-504-7100,군포시,2021-05-12,4020000,경기도 군포시
장흥관광지,관광지,경기도 양주시 장흥면 권율로 193,경기도 양주시 장흥면 석현리 산 1,37.73281632,126.9492504,390000,관광안내소+화장실+주차장,관광호텔,,캠핑장+미술관,,,1986-12-27,2340,502,"계명산과 송추계곡 등의 우수한 자연경관과 양주시립장욱진미술관, 가나아트파크, 송암스페이스센터 등 풍부한 문화예술체험을 동시에 즐길 수 있음",031-8082-5664,경기도 양주시청,2021-05-10,5590000,경기도 양주시
송광사&벚꽃길,관광지,전라북도 완주군 소양면 송광수만로 255-16,,35.885763,127.2417509,30,주차장,무,주차장,주차장+템플스테이,주차장+템플스테이,,2021-06-16,100,40,송광사는 종남산 아래에 자리한 사찰로 신라시대에 도의선사가 창건한 것으로 전해진다,063-243-8091,송광사,2021-06-16,4720000,전라북도 완주군
괴강,관광지,충청북도 괴산군 괴산읍 충민로검승3길 10,충청북도 괴산군 괴산읍 검승리 623,36.80676203,127.8252917,238132,"도로, 주차장, 관리사무소, 이벤트광장","향토음식점, 노변휴게소","극기훈련장, 다목적구장","청소년수련관, 생태학습준비실, 괴강국민여가캠핑장 야외무대, 괴강공원, 농업역사박물관",,녹지,2000-12-27,1000,140,"달천을 중심으로 괴강국민여가캥핑장 농업역사박물관, 각종 체육시설등이 조성된 관광지",043-830-3820,충청북도 괴산군,2021-06-28,4460000,충청북도 괴산군
수옥정,관광지,"충청북도 괴산군 연풍면 수옥정길 174, 수옥정관광지관리사무소",충청북도 괴산군 연풍면 원풍리 52-5,36.81361722,128.036232,229469,"주차장, 배수지, 공중화장실, 오수처리장, 관리사무소, 도로 및 광장","호텔, 여관, 펜션",물놀이장,저수지 위락시설,,"녹지, 사찰, 하천 및 저수지",1995-12-08,1000,120,"드라마 촬영등으로 유명한 수옥폭포와 수옥정, 한여름의 더위를 식혀주는 수옥정 물놀이장과 더불어 조령산, 깃대봉 등의 명산이 어우러져 자인이 만들어 낸 천혜의 관광지",043-830-2683,충청북도 괴산군,2021-06-28,4460000,충청북도 괴산군
무극전적국민관광지,관광지,충청북도 음성군 음성읍 생음대로 594,충청북도 음성군 음성읍 소여리 897,36.95063812,127.646982,18499,감우재전승기념관+화장실+주차장,,,,,,1985-06-08,100,15,6·25전쟁 당시 격전지였던 곳으로써 남한이 최초로 승전하여 국군의 사기를 드높였음,043-871-5930,충청북도 음성군청,2021-06-23,4470000,충청북도 음성군
담양호국민관광지,관광지,,전라남도 담양군 용면 월계리 149-67,35.403522,126.996118,47920000,"관리사무소, 공중화장실, 전망대, 정수장, 주차장, 도로등","국민숙사(해피랜드호텔), 펜션(오쑈) 등",운동시설지구,"조경 및 휴게시설, 용마루길, 추월산 등산로","목포맛집, 수정횟집, 초원의집","가마골생태공원, JK통나무펜션단지(비호재지구)",1988-11-29,10000,500,"담양호 국민관광지는 영산강 시원지인 가마골생태공원(용소)과 청정하고 맑은 담양호, 산세가 좋은 추월산, 역사의 흔적이 깊이 남아있는 금성산성에 이르기까지 힐링과 역사의 숨결이 살아있는 천혜의 관광지임",061-380-2793,담양군청 녹색관광과(가마골생태공원담당),2021-06-29,4850000,전라남도 담양군
죽녹원,관광지,전라남도 담양군 담양읍 죽녹원로 119,전라남도 담양군 담양읍 향교리 산37-6,35.325384,126.9866176,310238,"관리사무소, 공중화장실, 전망대, 정자등",한옥체험장(12객실),어린이놀이터,"조경 및 휴게시설, 생태전시관(이이남아트센터)","향교죽녹원, 죽녹원식당",,2000-01-02,3800,70,"2003년 5월에 조성하여 약 31만㎡의 울창한 대나무숲이 펼쳐져 있음. 죽림욕을 즐길수 있는 2.4km의 산책로가 있으며, 가사문학의 산실 담양의 정자문화를 대표하는 6정자를 재현하하고, 밤에는 별을 보며 한옥을 체험할 수 있는 공간이 조성되어있음",061-380-2780,담양군청 대나무자원연구소(대숲정원담당),2021-06-29,4850000,전라남도 담양군
삼례책마을,관광지,전라북도 완주군 삼례읍 삼례역로 68,,35.90745719,127.065756,2445,"주차장, 카페, 무인서점",유,"주차장, 카페, 무인서점","주차장, 카페, 무인서점","주차장, 카페, 무인서점",,2021-06-16,120,30,전시와 공연 토크콘서트 등 다양한 프로그램을 운영하고 있는 곳,063-290-2614,전라북도 완주군청,2021-06-16,4720000,전라북도 완주군
메타세쿼이아랜드,관광지,,전라남도 담양군 담양읍 학동리 578-4,35.323386,127.001852,117998,"메타세쿼이아길 L=2.1km, 어린이프로방스, 영화세트장, 개구리생태공원, 에코허브센터, 호남기후변화체험관, 매표소 3개소, 검표소 6개소, 쉼터 2개소, 화장실 4개소등","메종드프로방스, 담양프로방스펜션 등","어린이프로방스, 카페테리아, 곤충박물관",조경 및 휴게시설,"명가정, 담양갈비창고",,2010-01-13,1400,2000,"아름다운 숲 전국대회 부문 대상등 3회 수상에 빛나는 메타세쿼이아 길은 현재 메타세쿼이아 랜드로 조례개정하여 메타세쿼이아 길 외 어린이프로방스, 호남기후변화체험관, 개구리생태공원, 에코허브센터, 곤충박물관, 카페테리아 등 유원시설을 운영 및 공사 중이다. 메타세쿼이아 길을 사색하며 걷는것 외에도 체험 및 어린이를 위한 시설확충으로 담양을 대표하는 유원지 중 하나임",061-380-3142,담양군청 녹색관광과(관광시설담당),2021-06-29,4850000,전라남도 담양군
소쇄원,관광지,전라남도 담양군 가사문학면 소쇄원길 17,전라남도 담양군 가사문학면 지곡리 123,35.18433957,127.0121779,4060,관리사무소(매표소),,,조경 및 휴게시설,대가,,2008-05-02,600,90,"1983년 7월 20일 사적 제304호로 지정되었다가 2008년 5월 2일 명승 제40호로 변경되었다. 전체 면적은 4,060㎡(지정구역), 118,866㎡(보호구역)이다. 이곳은 물이 흘러내리는 계곡을 사이에 두고 각 건물을 지어 자연과 인공이 조화를 이루는 대표적 정원이다.",061-380-2811,담양군청 문화체육과(문화재담당),2021-06-29,4850000,전라남도 담양군
한국대나무박물관,관광지,전라남도 담양군 담양읍 죽향문화로 35,전라남도 담양군 담양읍 천변리 401-1,35.30934385,126.9764073,3300,관리사무소(매표소),,,조경 및 휴게시설,박물관앞집,,1991-06-27,260,150,"1981년에 죽물박물관이 개관된 후 전국 유일의 죽제품 주산지로서 보존, 전시, 시연, 판매 등 종합기능을 수행할 공간을 갖추어 대나무공예문화 전통 계승과 대나무공예 진흥의 계기를 마련하고자 1998년에 현재의 위치에 확장 이전하여 2003년에 한국대나무박물관으로 명칭을 변경하여 운영",061-380-2901,담양군청 대나무자원연구소(한국대나무박물관담당),2021-06-29,4850000,전라남도 담양군
한국가사문학관,관광지,전라남도 담양군 가사문학면 가사문학로 877,전라남도 담양군 가사문학면 지곡리 319,35.18796351,127.0054854,2022,"한옥형 본관, 매표소, 화장실 등",,,"기획전시실(갤러리), 자미정, 세심정, 토산품전시장, 전통찻집 등",대가,,2018-04-11,250,90,"가사문학 관련 문화유산의 전승, 보전과 현대적 계승, 발전을 위하여 2000년 10월 완공. 1만 6,556㎡의 부지에 2,022㎡ 규모의 한옥형 본관과 기획전시실(갤러리), 자미정, 세심정, 토산품전시장, 전통찻집 등의 부대시설을 갖추고 있음",061-380-2701,담양군청 문화체육과(한국가사문학관담당),2021-06-29,4850000,전라남도 담양군
슬로시티삼지내마을,관광지,전라남도 담양군 창평면 돌담길 56-24,전라남도 담양군 창평면 창평리 113-1,35.23525084,127.0178938,15680,"관리사무소, 공중화장실","돌담집 민박, 한옥애, 하심당 등",,,약초밥상,,2007-12-01,470,300,"담양은 예로부터의 고택이 많이 남아 있으며 아직도 인근에 문화재가 많이 있다. 도심 인근의 농촌인데도 전통문화가 많이 남아 있어 현대와 전통이 조화를 이루고 있는 대표적 마을이기도 하다. 특히 삼지천 마을의 고택, 한옥마을에 펼쳐진 돌담길에서의 여유로운 산책은 방문객들의 슬로라이프 체험의 장이기도 하다.",061-380-3152,담양군청 녹색관광과(관광정책담당),2021-06-29,4850000,전라남도 담양군
오색관광지,관광지,,강원도 양양군 서면 가라피리 165,38.077641,128.510721,461000,관리사무소+주차장+하수도시설+도로+취사장+공중화장실,가족호텔+콘도미니엄+모텔+산장+방가로+팬션,수영장+클럽하우스+골프연습장,야영장+조경휴게소,,,1994-10-26,3000,1000,설악산과오색령에 아름다운 자연경관을 볼수 있음,033-670-2724,강원도 양양군청,2021-06-25,4350000,강원도 양양군
지경관광지,관광지,,강원도 양양군 현남면 지리 5-1,37.9277211,128.794439,157699,주차장,"호텔, 생활형숙박시설,","농촌체험장,","수동골센타, 캠핑장및 카라반",,,2016-09-23,3000,1500,동해안 해안절경 감상,033-670-2724,강원도 양양군청,2021-06-25,4350000,강원도 양양군
설해원(양양국제공항),관광단지,,강원도 양양군 손양면 동호리 510-28,38.0555560775,128.6641979295,2730584,"주차장,경비실,직원숙소,","관광호텔, 휴양콘도미니엄, 생활형숙박시설","골프장,체육관","박물관,힐링가든,미술관",,,2019-12-23,5000,2500,장기체류형 종합 스포츠레저단지,033-670-2724,강원도 양양군청,2021-06-25,4350000,강원도 양양군
그림책미술관,관광지,전라북도 완주군 삼례읍 삼례역로 48-1,,35.90832046,127.068059,757,주차장,유,주차장,주차장,주차장,,2021-06-16,30,5,"그림책을 보고, 듣고, 느낄 수 있는 공간",063-290-2614,전라북도 완주군청,2021-06-16,4720000,전라북도 완주군
대한민국술테마박물관,관광지,전라북도 완주군 구이면 덕천전원길 232-58,,35.72601868,127.136162,61594,관리사무소+화장실(5동)+주차장,무,관리사무소+화장실(6동)+주차장,관리사무소+화장실(7동)+주차장,관리사무소+화장실(8동)+주차장,,2021-06-16,150,40,5만여 점의 유물을 통해 태곳적부터 현대까지 우리 술에 담긴 다양한 이야기를 오롯이 담고 있는 테마박물관,063-290-3854,전라북도 완주군청,2021-06-16,4720000,전라북도 완주군
무궁화오토캠핑장,관광지,전라북도 완주군 고산면 고산휴양림로 89,,35.97398132,127.2315513,4664,"주차장, 화장실",유,"주차장, 화장실","주차장, 화장실","주차장, 화장실",,2021-06-16,400,100,문화체육관광부 국민여가캠핑장으로 조성된 공공야영장으로 52개 사이트와 캐러반 등 부대시설이 갖추어져 있는 곳,063-290-2762,전라북도 완주군청,2021-06-16,4720000,전라북도 완주군
놀토피아,관광지,전라북도 완주군 고산면 대아저수로 416,,35.98879491,127.261342,397,"주차장, 화장실",유,"주차장, 화장실","주차장, 화장실","주차장, 화장실",,2021-06-16,200,100,국내 최대규모(34종류)를 자랑하는 심신발달형 어린이 모험 놀이시설,070-4100-1100,전라북도 완주군청,2021-06-16,4720000,전라북도 완주군
오성한옥마을,관광지,전라북도 완주군 소양면 오도길 73,,35.90695186,127.2367573,13856,"주차장, 숙박시설, 카페",유,"주차장, 숙박시설, 카페","주차장, 숙박시설, 카페","주차장, 숙박시설, 카페",,2021-06-16,500,100,종남산과 위봉산이 병품처럼 둘러쌓고 있는 천혜의 자연경관에 한옥고택 등 전통한옥이 자리잡고 있는 곳,063-243-1022,오성한옥마을,2021-06-16,4720000,전라북도 완주군
완주전통문화체험장,관광지,전라북도 완주군 고산면 대아저수로 416,,35.98879491,127.261342,1215,"주차장, 화장실",유,"주차장, 화장실","주차장, 화장실","주차장, 화장실",,2021-06-16,50,100,고즈넉한 한옥의 숨결을 느끼며 뛰어난 자연경관 속에 아늑한 휴식을 즐기기에 안성맞춤인 공간,070-4100-1100,전라북도 완주군청,2021-06-16,4720000,전라북도 완주군
청소년전통문화체험관,관광지,전라북도 완주군 고산면 대아저수로 416,,35.98879491,127.261342,2768,"주차장, 화장실",유,"주차장, 화장실","주차장, 화장실","주차장, 화장실",,2021-06-16,50,100,"전통문화를 기반으로 한 청소년들의 문화공간, 체험공간, 지역 내 전해 내려오는 역사의 흔적과 문화를 소재로 한 교육체험 공간",070-4100-1100,전라북도 완주군청,2021-06-16,4720000,전라북도 완주군
해인사,관광지,경상남도 합천군 가야면 해인사길 122,경상남도 합천군 가야면 치인리 10,35.801504,128.0976255,84227,관리사무소,,,,,,2020-07-07,1,1,합천 대표 관광지이자 한국관광공사가 선정한 한국관광100선에 4회 연속 선정된 역사 그대로의 유산,055-934-3001,합천군,2021-06-15,5480000,경상남도 합천군
중랑캠핑숲,관광지,서울특별시 망우로87길 110,서울특별시 중랑구 망우동 76,37.606893,127.1106971521,179666,없음,-,-,-,-,-,2010-11-20,100000,0,학생소풍 및 가족단위 피크닉을 주제로 한 체험형 공원(캠핑장),02-434-4371,서울시 중부공원녹지 사업소,2020-10-14,3060000,서울특별시 중랑구
옹기테마공원,관광지,서울특별시 신내로21길 116,서울특별시 중랑구 신내동 777,37.6126537169,127.0885193591,9000,없음,-,-,-,-,-,2017-03-15,100000,0,다양한 전통문화 체험프로그램 참여가 가능한 옹기를 테마로 조성된 공원,02-2094-1813,중랑구청 문화관광과,2020-10-14,3060000,서울특별시 중랑구
순천향매실마을,관광지,전라남도 순천시 월등면 계월길 138,전라남도 순천시 월등면 계월리 493,35.06212349,127.4045173,925619,"체험관 1, 숙박동 1, 휴게시설 1, 화장실 1",숙박시설 1동,해당없음,해당없음,휴게시설,해당없음,2008-02-28,140,42,"50여년전 마을에 매화를 심은것을 시작으로 그 규모가 마을 단위로는 전국 최대 규모이며, 매년 4월이면 마을에는 매화꽃이 피기 시작하여 매화향기와 눈가루를 뿌려놓은듯한 풍경이 아름다운 마을입니다. 군장마을로 넘어가는 고개길에는 장군이 용마를 타고 하늘로 도약하면서 남겼다는 용발태족(용발자국)이 선명하게 남아있으며, 중촌마을에는 당산나무인 수령 500년생 느티나무 두 그루가 마을 입구에 서있어 마을의 오랜역사를 말해준다. 이문마을에는 이택종 선생이 일본에서 가져와 최초로 심은 매화나무로, 향매실마을에서 가장 오래된 매화나무가 자라고 있다.",061-754-2337,순천시청 월등면,2021-08-01,4820000,전라남도 순천시
순천생태마을,관광지,전라남도 순천시 승주읍 고산도목길 9,전라남도 순천시 승주읍 도정리 1642-1,35.06648711,127.3602718,200,"화장실, 안내소, 생태체험관, 주차장",생태체험관,없음,생태체험관,없음,없음,2006-04-09,600,6,산간마을의 오염되지 않은 환경 속에 도심에서는 볼 수 없는 생명들이 함께하는 곳으로 계곡과 습지가 잘 보존되어 있어 생태교육장으로 안성맞춤,061-755-0141,순천시청 승주읍,2021-08-01,4820000,전라남도 순천시
거차뻘배체험마을,관광지,전라남도 순천시 별량면 거차길 130,전라남도 순천시 별량면 마산리 566-1,34.8375993,127.4474457,495868,"화장실, 샤워장, 뻘배체험장",민박3개,-,캠핑장,,매점,2013-04-20,300,50,"거차뻘배 체험장은 2헥타르(ha)의 넓은 공유수면에서 뻘배타기,  꼬막캐기, 칠게잡기, 짱뚱어잡기, 갯벌미끄럼틀타기 등 다양한 갯벌생태체험을 할 수 있는 곳이다.",061-742-8837,순천시청 별량면,2021-08-01,4820000,전라남도 순천시
낙안민속자연휴양림,관광지,전라남도 순천시 낙안면 민속마을길 1600,전라남도 순천시 낙안면 동내리 산3-1,34.91351224,127.3534026,2860000,"화장실, 취사장, 샤워장, 민속놀이체험장, 숲체험교실","객실 15개, 야영장 17개",,,,,2004-02-09,300,50,"낙안읍성과 주변 경관이 수려해 휴식 공간으로는 최적지일 뿐만 아니라 인근에 송광사, 선암사 같은 전통 고찰과 서산의 저녁 노을을 함께 즐길 수 있는 주암호, 상사호가 있으며, 순천만의 갈대와 해변, 순천만 국가정원, 드라마세트장, 고인돌 공원 그리고 낙안읍성 민속마을의 각종 문화 축제를 즐길 수 있는 관광 명소들이 많아 사계절 이용이 가능",061-754-4400,순천시청 낙안면,2021-08-01,4820000,전라남도 순천시
부평아트센터,관광지,인천광역시 부평구 아트센터로 166,인천광역시 부평구 십정동 186-22,37.4822383,126.7049334,17236,"수유실, 놀이방",해당없음,해당없음,"공연, 전시","카페, 레스토랑",유료,2015-05-06,600,259,"뮤지컬, 음악회, 전시회 등",032-500-2000,부평문화재단,2021-07-11,3540000,인천광역시 부평구
기후변화체험관,관광지,인천광역시 부평구 장제로 267,인천광역시 부평구 갈산동 403,37.50932668,126.7307645,1279,수유실,해당없음,해당없음,생태교육체험,해당없음,무료,2017-02-20,100,4,생태교육프로그램 체험,032-509-3900,부평구청,2021-07-11,3540000,인천광역시 부평구
부평역사박물관,관광지,인천광역시 부평구 굴포로 151,인천광역시 부평구 삼산동 451-1,37.51214216,126.7379081,3108,해당없음,해당없음,해당없음,전시,카페,무료,2013-03-13,100,31,부평 역사관련 전시물 관람,032-515-6471,부평구청,2021-07-11,3540000,인천광역시 부평구
부평안전체험관,관광지,인천광역시 부평구 굴포로 110,인천광역시 부평구 삼산동 441-6,37.51098789,126.7333177,10240,해당없음,해당없음,해당없음,안전교육체험,카페,무료,2017-02-20,100,65,재난상황 시뮬레이션 체험,032-509-3940,부평구청,2021-07-11,3540000,인천광역시 부평구
인천나비공원,관광지,인천광역시 부평구 평천로 26-47,인천광역시 부평구 청천동 68-12,37.52026697,126.6927245,1674,수유실,해당없음,해당없음,전시,카페,무료,2017-02-20,500,24,살아있는 나비 등 관람,032-509-8824,부평구청,2021-07-11,3540000,인천광역시 부평구
은평역사한옥박물관,관광지,서울특별시 은평구 연서로50길 8,서울특별시 은평구 진관동 135-5,37.6403324561,126.9380102120,6530,"장난감도서관, 휴게실, 화장실 등",없음,없음,"은평역사실, 한옥전시실",매표소(안내),,2014-10-07,300,26,은평구의 문화유산과 한옥의 전통을 소개하는 박물관,02-351-8525,서울특별시 은평구청,2021-07-07,3110000,서울특별시 은평구
금성당,관광지,서울특별시 은평구 진관2로 57-23,서울특별시 은평구 진관동 175-836,37.6351354710,126.9253799732,2684,화장실,없음,없음,,,,2008-07-22,50,0,세종대왕 6째 아들 금성대군을 모신 당,02-388-6522,서울특별시 은평구청,2021-07-07,3110000,서울특별시 은평구
용마폭포공원,관광지,서울특별시 중랑구 용마산로 250-12,서울특별시 중랑구 면목동 산 1-4,37.5733520089,127.0891138,167172,없음,-,클라이밍 경기장,-,-,-,1997-05-10,100000,0,동양 최대의 인공폭포가 있는 명소,02-2094-2965,중랑구청 공원녹지과,2020-10-14,3060000,서울특별시 중랑구
망우리공원,관광지,서울특별시 망우로 570,서울특별시 중랑구 망우동 산 57-1,37.5983536213,127.1148163842,832800,없음,-,-,-,-,-,1933-05-27,100000,0,우리나라 근현대사 주요인물들이 영면하고 계신 역사와 문화가 살아 숨 쉬는 서울의 대표 공원,02-2094-1812,중랑구청 문화관광과,2020-10-14,3060000,서울특별시 중랑구
